灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
狄龙-布鲁克斯,G,23,4-10,1-3,7-7,0,1,"
1","
1",1,0,2,0,"
16","
+19"
贾-莫兰特,G,19,5-8,0-1,0-1,2,1,"
3","
7",1,1,1,0,"
10","
+17"
杰-克劳德,F,21,2-7,2-6,3-5,0,1,"
1","
2",2,1,1,0,"
9","
+11"
布兰登-克拉克,F,15,3-4,0-0,0-0,0,5,"
5","
1",0,0,1,0,"
6","
+7"
小贾伦-杰克逊,C,20,6-8,2-2,5-9,2,6,"
8","
0",2,1,3,1,"
19","
+13"
布鲁诺-卡博克洛,F,29,6-9,1-2,0-0,4,5,"
9","
1",2,0,2,3,"
13","
+24"
格雷森-阿伦,G,23,7-10,4-6,0-0,0,3,"
3","
3",2,0,2,0,"
18","
+9"
马尔科-古杜里克,G-F,20,4-8,0-3,0-0,1,1,"
2","
2",1,0,2,0,"
8","
+13"
泰厄斯-琼斯,G,17,3-5,2-2,1-2,0,2,"
2","
7",0,0,0,0,"
9","
+14"
所罗门-希尔,F,15,1-4,0-1,1-3,1,6,"
7","
0",1,0,1,0,"
3","
+20"
渡边雄太,G-F,9,0-3,0-1,1-2,0,2,"
2","
0",1,0,0,0,"
1","
0"
伊万-拉布,F-C,9,2-2,0-0,0-0,1,4,"
5","
2",1,1,0,0,"
4","
+12"
迈尔斯-普拉姆利,C,8,1-3,0-0,0-0,1,1,"
2","
0",0,0,0,0,"
2","
-6"
约翰-康查尔,G,8,1-4,0-2,0-0,3,2,"
5","
2",1,2,1,0,"
2","
+12"
Matthew Mooney,G,4,1-2,1-2,0-0,1,0,"
1","
2",0,1,0,0,"
3","
+10"
约纳斯-瓦兰丘纳斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹东尼-梅尔顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-安德森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
海法
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
格里戈瑞-巴尔加斯,G,30,3-8,0-2,0-0,0,2,"
2","
8",1,2,2,0,"
6","
-8
"
詹姆斯-杨,G,25,9-20,4-6,9-9,2,4,"
6","
1",2,0,2,0,"
31","
-10
"
罗曼-索尔金,F,31,1-5,1-4,0-0,1,4,"
5","
0",2,4,0,2,"
3","
-10
"
斯科特-萨格斯,F,26,5-8,1-4,0-0,0,3,"
3","
0",2,1,0,0,"
11","
-3
"
埃里克-安德森,C,21,2-4,0-0,0-0,0,2,"
2","
0",5,0,0,0,"
4","
-15
"
威利-沃克曼,NA,21,2-4,0-1,2-2,1,3,"
4","
2",3,0,4,0,"
6","
-25"
诺里斯-科尔,G,21,5-16,2-4,1-2,0,0,"
0","
2",2,0,1,0,"
13","
-20"
布兰登-拉什,G-F,21,4-10,2-3,0-0,2,2,"
4","
1",2,1,0,1,"
10","
-21"
乔纳森-莫,NA,19,0-3,0-1,2-2,1,4,"
5","
2",2,0,1,0,"
2","
-22"
丹尼尔-科佩尔伯格,NA,11,1-1,0-0,0-0,0,2,"
2","
0",2,0,3,1,"
2","
-11"
吉尔-阿米塔,NA,11,0-2,0-1,0-0,0,2,"
2","
1",1,0,1,1,"
0","
-17"
大卫-科恩,NA,4,0-2,0-1,0-0,0,0,"
0","
0",0,0,2,0,"
0","
-13"
