灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
狄龙-布鲁克斯,G,22,2-13,0-3,2-2,1,1,"
2","
0",2,0,1,0,"
6","
+19"
贾-莫兰特,G,20,2-6,0-0,0-0,0,5,"
5","
10",1,1,3,0,"
4","
+13"
小贾伦-杰克逊,F,28,5-10,1-3,7-9,2,7,"
9","
2",4,0,2,3,"
18","
+10"
杰-克劳德,F,23,5-7,3-4,2-3,0,5,"
5","
1",0,0,3,1,"
15","
+8"
布兰登-克拉克,C,20,3-7,0-0,0-0,5,7,"
12","
0",0,0,1,0,"
6","
+12"
格雷森-阿伦,G,26,6-14,2-6,4-5,0,5,"
5","
0",2,0,1,3,"
18","
0"
泰厄斯-琼斯,G,23,6-10,1-1,0-0,0,2,"
2","
5",2,1,3,0,"
13","
-1"
布鲁诺-卡博克洛,F,22,1-4,0-2,0-0,1,5,"
6","
2",2,1,3,0,"
2","
+3"
所罗门-希尔,F,21,2-6,1-4,1-1,0,5,"
5","
0",2,0,0,2,"
6","
-2"
马尔科-古杜里克,G-F,17,6-7,2-3,0-0,0,1,"
1","
0",0,0,3,0,"
14","
+6"
凯尔-安德森,F,16,3-5,0-1,0-0,1,1,"
2","
1",2,0,1,1,"
6","
+4"
约翰-康查尔,G,3,0-0,0-0,0-0,1,1,"
2","
1",0,0,0,1,"
0","
-2"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约纳斯-瓦兰丘纳斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Matthew Mooney,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈尔斯-普拉姆利,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹东尼-梅尔顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
新西兰破坏者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科里-韦伯斯特,G,36,8-19,3-10,0-0,2,5,"
7","
8",2,4,2,3,"
19","
-10
"
斯科蒂-霍普森,F,36,5-17,1-4,5-9,0,8,"
8","
4",2,1,1,1,"
16","
-7
"
布兰登-阿什利,F,10,2-6,1-2,0-0,1,1,"
2","
0",6,0,0,2,"
5","
-6
"
罗伯特-洛,C,25,5-12,1-6,1-1,0,4,"
4","
0",5,0,3,0,"
12","
-10
"
塞克-亨利,NA,32,4-11,2-6,0-0,0,2,"
2","
0",3,0,3,0,"
10","
-7"
汤姆-阿伯克龙比,NA,30,3-5,2-3,2-4,0,3,"
3","
0",1,3,2,1,"
10","
+1"
杰拉德-威克斯,NA,16,2-4,0-1,0-0,0,0,"
0","
5",2,0,0,0,"
4","
-3"
阿特-马朱克,NA,14,2-4,0-1,1-1,0,1,"
1","
1",2,1,1,1,"
5","
-6"
乔丹-恩加泰,NA,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Finn Delaney,NA,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
