热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾斯蒂斯-温斯洛,G,24,5-13,0-4,1-2,0,4,"
4","
3",2,0,4,0,"
11","
-2"
吉米-巴特勒,G,24,4-8,1-3,1-2,0,3,"
3","
5",0,1,1,0,"
10","
-6"
巴姆-阿德巴约,F,23,4-8,0-0,6-6,2,6,"
8","
1",4,0,2,2,"
14","
+3"
邓肯-罗宾逊,F,19,1-7,1-7,0-0,0,3,"
3","
0",3,1,0,0,"
3","
-8"
迈耶斯-伦纳德,C,24,2-5,1-3,0-0,1,10,"
11","
1",3,0,1,0,"
5","
-1"
小德里克-琼斯,F-G,27,4-8,0-2,3-4,1,3,"
4","
0",1,1,0,0,"
11","
+28"
泰勒-希罗,G,24,7-13,2-5,2-2,0,3,"
3","
3",1,1,1,1,"
18","
+29"
戈兰-德拉季奇,G,20,3-4,2-2,0-0,0,3,"
3","
4",1,0,3,0,"
8","
+20"
迪昂-韦特斯,G,20,3-8,1-3,0-0,0,0,"
0","
4",1,1,3,0,"
7","
+24"
克里斯-席尔瓦,F,14,6-8,0-0,4-5,3,6,"
9","
0",2,2,0,2,"
16","
+11"
肯德里克-纳恩,G,7,1-4,0-2,0-0,0,1,"
1","
4",1,1,0,0,"
2","
-3"
KZ-奥克帕拉,F,5,1-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-2"
达里尔-梅肯,G,5,0-2,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-2"
迈克尔-穆尔德,G,3,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-1"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰雷米亚-马丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯利-奥利尼克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达文-里德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,19,2-8,0-1,4-4,0,3,"
3","
3",4,0,1,0,"
8","
-3
"
布林-福布斯,G,17,2-7,1-2,0-0,0,3,"
3","
0",0,0,1,0,"
5","
-9
"
拉马库斯-阿尔德里奇,F,23,3-9,1-1,1-2,0,4,"
4","
2",2,1,0,1,"
8","
+4
"
德马尔-德罗赞,F,22,3-7,0-0,4-4,0,2,"
2","
3",1,0,1,0,"
10","
0
"
雅各布-珀尔特尔,C,20,4-6,0-0,0-0,0,5,"
5","
1",1,0,2,0,"
8","
-4
"
鲁迪-盖伊,F,22,4-8,2-5,2-2,0,2,"
2","
1",0,0,1,1,"
12","
-17"
德里克-怀特,G,19,0-4,0-1,1-2,0,1,"
1","
3",5,0,3,0,"
1","
-15"
帕蒂-米尔斯,G,17,4-8,0-1,0-0,0,3,"
3","
2",1,0,2,0,"
8","
-2"
马科-贝里内利,G-F,15,2-6,0-1,1-2,0,1,"
1","
1",1,2,1,0,"
5","
-11"
德马雷-卡罗尔,F,12,1-2,0-0,0-0,1,1,"
2","
1",1,1,2,0,"
2","
-13"
朗尼-沃克,G,11,2-3,0-0,0-2,0,0,"
0","
1",0,0,0,0,"
4","
-10"
Dedric Lawson,F,9,1-1,0-0,3-3,0,1,"
1","
0",1,0,0,1,"
5","
0"
奇梅齐耶-梅图,F,9,0-3,0-0,0-0,1,2,"
3","
0",1,0,0,0,"
0","
-15"
奎因达里-韦瑟斯庞,G,8,1-3,0-1,0-0,1,2,"
3","
1",1,1,1,0,"
2","
+2"
德鲁-尤班克斯,F,8,1-3,0-0,4-4,1,2,"
3","
1",0,0,0,0,"
6","
+2"
凯尔登-约翰逊,F,4,2-2,0-0,1-1,0,1,"
1","
0",0,0,1,0,"
5","
0"
Daulton Hommes,F-G,4,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
+1"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-莱尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
