独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,23,6-13,5-8,10-11,1,6,"
7","
2",1,1,4,0,"
27","
-2"
德朗-赖特,G,19,0-3,0-3,0-0,0,3,"
3","
4",3,0,2,0,"
0","
-6"
小蒂姆-哈达威,F,25,4-10,2-6,0-0,0,2,"
2","
2",0,2,1,0,"
10","
-7"
多里安-芬尼-史密斯,F,20,3-7,2-5,0-0,1,5,"
6","
4",4,2,2,0,"
8","
-2"
克里斯塔普斯-波尔津吉斯,C,24,4-13,2-9,1-2,1,4,"
5","
3",4,1,2,0,"
11","
-16"
贾斯廷-杰克逊,F,23,5-9,3-6,0-0,1,1,"
2","
2",0,0,3,0,"
13","
-7"
马克西-克勒贝尔,F,22,2-3,0-0,0-0,1,3,"
4","
2",2,2,0,0,"
4","
-9"
塞思-库里,G,16,0-4,0-2,0-0,0,0,"
0","
3",3,1,2,0,"
0","
-1"
博班-马里亚诺维奇,C,16,6-9,0-1,4-6,2,6,"
8","
0",1,0,1,0,"
16","
+11"
何塞-巴里亚,G,12,1-5,0-2,1-3,0,1,"
1","
0",1,0,1,0,"
3","
-12"
杰伦-布伦森,G,12,5-7,2-3,0-0,0,2,"
2","
4",1,0,1,0,"
12","
+8"
约什-里夫斯,G,9,0-3,0-1,1-4,1,3,"
4","
0",0,0,0,2,"
1","
+7"
安东尼斯-克利夫兰,G,9,0-4,0-1,4-6,2,1,"
3","
1",1,0,0,1,"
4","
+7"
考特尼-李,G,4,0-1,0-1,0-0,0,1,"
1","
0",1,0,1,0,"
0","
0"
马场雄大,G,3,0-1,0-1,0-0,0,0,"
0","
0",1,1,0,0,"
0","
-3"
以赛亚-罗比,F,3,1-2,0-1,0-0,1,1,"
2","
0",0,0,0,1,"
2","
-3"
Dakota Mathias,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德怀特-鲍威尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-霍尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特-康诺顿,G,22,2-5,1-3,0-0,0,6,"
6","
2",1,1,2,2,"
5","
-2
"
乔治-希尔,G,19,0-3,0-3,2-2,0,3,"
3","
4",2,2,0,0,"
2","
+13
"
扬尼斯-阿德托昆博,F,23,13-20,3-4,5-5,1,10,"
11","
4",3,1,4,0,"
34","
+9
"
克里斯-米德尔顿,F,21,3-7,1-3,0-0,0,4,"
4","
4",4,1,5,0,"
7","
-2
"
罗宾-洛佩斯,C,22,1-4,0-3,0-0,1,1,"
2","
1",5,0,2,0,"
2","
+3
"
唐特-迪温琴佐,G,21,4-7,1-4,5-7,0,4,"
4","
3",2,1,1,0,"
14","
+2"
德拉甘-本德尔,F-C,19,6-10,3-5,2-3,1,5,"
6","
3",2,0,0,2,"
17","
+4"
斯特林-布朗,G,18,1-2,1-1,0-0,1,3,"
4","
2",3,1,3,0,"
3","
+16"
艾森-伊利亚索瓦,F-C,17,6-10,5-7,1-4,0,2,"
2","
1",0,1,1,1,"
18","
+13"
凯尔-科沃尔,G-F,16,2-3,1-2,0-0,0,1,"
1","
3",0,0,0,0,"
5","
+8"
弗兰克-梅森,G,14,2-6,0-1,2-3,0,1,"
1","
3",1,0,1,0,"
6","
-1"
萨纳西斯-阿德托昆博,F,11,2-2,1-1,0-0,0,0,"
0","
0",1,0,0,0,"
5","
-6"
卡姆-雷诺兹,G-F,8,0-2,0-1,0-0,0,1,"
1","
0",4,0,0,0,"
0","
-9"
拉洪-塔克,G-F,6,0-0,0-0,0-0,0,2,"
2","
0",0,0,0,0,"
0","
-8"
卢克-梅,F,3,0-3,0-2,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-5"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦斯利-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-亚当斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁克-洛佩斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-布莱索,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
