黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德维恩-培根,G,26,4-12,1-5,8-10,0,5,"
5","
1",3,0,4,0,"
17","
-17"
特里-罗齐尔,G,25,5-15,0-1,0-0,0,1,"
1","
2",2,1,3,0,"
10","
-1"
PJ-华盛顿,F,32,3-5,1-1,3-3,2,3,"
5","
3",0,4,1,2,"
10","
-2"
迈尔斯-布里奇斯,F,31,3-10,1-4,5-5,1,6,"
7","
3",1,0,1,1,"
12","
-17"
科迪-泽勒,C,21,5-10,0-1,2-2,1,5,"
6","
3",4,1,1,0,"
12","
-9"
德文特-格雷厄姆,G,24,2-6,1-4,3-4,0,2,"
2","
5",3,0,3,0,"
8","
0"
凯莱布-马丁,F,23,2-7,1-2,2-2,2,3,"
5","
1",0,0,0,0,"
7","
+2"
迈克尔-基德-吉尔克里斯特,F,14,2-4,1-2,0-0,0,7,"
7","
0",0,0,0,0,"
5","
+5"
俾斯麦-比永博,C-F,13,1-2,0-0,0-0,1,1,"
2","
1",3,0,3,2,"
2","
-7"
科比-西蒙斯,G,8,0-3,0-0,0-0,0,0,"
0","
1",1,1,0,0,"
0","
+4"
约什-佩尔金斯,G,7,0-1,0-1,0-0,0,3,"
3","
2",2,0,3,0,"
0","
-1"
马利克-蒙克,G,6,0-0,0-0,0-0,0,1,"
1","
0",0,0,2,0,"
0","
-18"
吉列尔莫-埃尔南戈麦斯,C,5,2-4,0-0,0-0,2,0,"
2","
0",0,0,0,0,"
4","
-2"
艾哈迈德-希尔,G,5,0-1,0-0,0-0,0,0,"
0","
0",0,0,1,1,"
0","
-2"
马文-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔-奇利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-马丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,25,7-14,3-9,1-3,0,2,"
2","
4",1,1,1,3,"
18","
+5
"
本-西蒙斯,G,23,6-8,0-0,3-3,2,3,"
5","
4",3,2,3,1,"
15","
+23
"
托拜厄斯-哈里斯,F,26,6-14,2-6,2-2,2,6,"
8","
1",2,0,3,1,"
16","
+12
"
谢克-米尔顿,F,17,2-5,0-2,0-0,0,1,"
1","
1",1,0,0,0,"
4","
-7
"
艾尔-霍弗德,C,22,5-9,1-3,0-0,1,8,"
9","
3",1,3,0,2,"
11","
+7
"
马蒂斯-赛布尔,G,18,0-2,0-2,3-5,1,2,"
3","
2",3,4,0,1,"
3","
+11"
劳尔-内托,G,16,1-4,0-1,4-4,0,2,"
2","
2",0,0,3,0,"
6","
-6"
迈克-斯科特,F,15,4-8,3-6,0-0,1,1,"
2","
0",0,0,0,0,"
11","
+12"
凯尔-奥奎因,C,14,1-3,0-1,0-0,1,3,"
4","
5",3,1,0,1,"
2","
+15"
詹姆斯-恩尼斯,F,13,3-4,0-1,2-2,0,2,"
2","
0",1,0,1,0,"
8","
+19"
乔纳-博尔登,F,12,0-2,0-1,0-0,2,2,"
4","
2",3,0,5,1,"
0","
-15"
富尔坎-科尔克马兹,G-F,9,1-3,0-2,0-2,0,4,"
4","
1",1,1,0,0,"
2","
-5"
特雷-伯克,G,8,1-3,0-1,0-1,0,0,"
0","
1",2,1,0,0,"
2","
-4"
扎伊尔-史密斯,G,8,0-2,0-1,0-0,0,1,"
1","
0",1,1,1,1,"
0","
-4"
诺维尔-佩莱,C,8,1-1,0-0,0-0,0,2,"
2","
0",2,0,4,2,"
2","
0"
马里亚尔-沙约克,G,4,0-1,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
+2"
伊塞亚-迈尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
海伍德-海史密斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔尔-恩比德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯特-柯马杰,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
