开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,31,10-17,4-7,3-6,1,2,"
3","
3",2,1,6,1,"
27","
-5"
达米安-利拉德,G,30,5-10,2-6,6-7,0,2,"
2","
4",0,0,5,0,"
18","
-17"
肯特-贝兹莫尔,F,21,3-4,2-3,0-2,0,2,"
2","
1",4,1,2,0,"
8","
0"
安东尼-托利弗,F,18,0-1,0-1,2-2,1,2,"
3","
3",1,1,0,0,"
2","
+3"
哈桑-怀特塞德,C,23,5-5,0-0,2-2,1,5,"
6","
1",4,1,6,1,"
12","
-10"
安芬尼-西蒙斯,G,26,5-11,3-4,0-0,0,3,"
3","
1",2,0,0,0,"
13","
-15"
扎克-科林斯,F-C,24,5-11,0-3,6-7,2,5,"
7","
5",3,0,1,2,"
16","
-8"
斯卡尔-拉比西埃,F-C,21,1-4,0-0,0-0,2,6,"
8","
2",2,1,1,2,"
2","
-6"
马里奥-海佐尼亚,F-G,20,3-7,0-3,0-1,1,5,"
6","
5",0,0,0,0,"
6","
-7"
小加里-特伦特,G,14,4-6,0-1,0-0,0,0,"
0","
0",1,0,1,0,"
8","
-10"
杰伦-赫尔德,F,2,0-1,0-0,1-2,0,0,"
0","
0",1,1,0,0,"
1","
-1"
伦敦-珀兰特斯,G,2,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-1"
Moses Brown,C,2,0-0,0-0,1-4,1,0,"
1","
0",0,0,0,0,"
1","
-1"
特洛伊-科佩恩,G,2,0-1,0-1,1-2,0,0,"
0","
0",0,0,0,0,"
1","
-1"
Keljin Blevins,F,2,1-1,0-0,1-1,0,0,"
0","
0",1,0,0,0,"
3","
-1"
保罗-加索尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰文-卡特,G,24,1-5,1-3,0-0,1,0,"
1","
6",4,2,3,0,"
3","
+9
"
凯利-乌布雷,G,18,5-11,3-5,6-6,0,3,"
3","
1",2,1,2,1,"
19","
+3
"
米卡尔-布里奇斯,F,24,5-7,2-4,1-2,1,1,"
2","
0",4,3,1,0,"
13","
+9
"
达里奥-沙里奇,F,23,5-8,3-3,0-0,1,7,"
8","
2",4,2,2,0,"
13","
+15
"
阿隆-贝恩斯,C,21,5-9,2-5,2-2,0,4,"
4","
3",1,0,2,0,"
14","
-1
"
弗兰克-卡明斯基,F-C,29,5-13,4-7,2-2,2,4,"
6","
8",2,1,1,0,"
16","
+12"
卡梅伦-约翰逊,G,27,6-9,4-6,2-2,0,2,"
2","
1",1,0,1,0,"
18","
+8"
泰勒-约翰逊,G,23,6-9,4-6,2-2,1,2,"
3","
2",4,0,3,0,"
18","
+8"
泰-杰罗姆,G,22,3-8,1-4,1-2,0,4,"
4","
5",1,0,0,2,"
8","
+7"
谢赫-迪亚洛,F-C,14,2-6,0-1,3-4,1,4,"
5","
1",1,1,0,0,"
7","
+7"
埃利-奥科博,G,5,0-0,0-0,0-0,0,2,"
2","
0",1,0,2,0,"
0","
+2"
Tariq Owens,F,2,0-1,0-1,0-0,0,2,"
2","
0",3,0,0,0,"
0","
+1"
杰伦-勒丘,G,2,1-1,0-0,1-1,0,1,"
1","
0",0,0,1,0,"
3","
0"
Jared Harper,G,2,0-0,0-0,2-2,0,0,"
0","
0",0,0,0,0,"
2","
0"
Norense Odiase,C,2,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
0"
里基-卢比奥,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文-布克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
David Kramer,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
