猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特伦斯-戴维斯,G,22,3-9,0-3,0-0,0,4,"
4","
4",4,0,3,0,"
6","
-24"
帕特里克-麦考,G,20,1-4,0-2,0-0,0,1,"
1","
1",1,2,0,0,"
2","
-21"
OG-阿奴诺比,F,27,5-9,1-2,4-6,0,2,"
2","
4",1,2,2,0,"
15","
-28"
马尔科姆-米勒,F,17,2-5,1-4,0-0,0,0,"
0","
0",3,1,1,0,"
5","
-17"
克里斯-布歇,C,20,4-9,1-2,2-6,0,2,"
2","
0",0,2,1,4,"
11","
-19"
斯坦利-约翰逊,F,21,1-5,1-2,2-4,2,2,"
4","
4",1,1,1,1,"
5","
+14"
德万-埃尔南德斯,F,19,2-9,0-0,3-5,3,8,"
11","
2",1,0,1,0,"
7","
-3"
马特-托马斯,G,19,5-10,2-5,0-0,0,1,"
1","
2",1,0,2,0,"
12","
-15"
卡梅伦-佩恩,G,18,1-7,1-5,2-2,0,5,"
5","
3",1,0,4,0,"
5","
-6"
奥谢-布里塞特,F,17,2-5,1-2,1-2,0,2,"
2","
3",0,1,1,0,"
6","
-5"
朗戴-霍利斯-杰弗森,F,16,2-2,0-0,2-2,1,5,"
6","
0",2,0,1,0,"
6","
+13"
德文-罗宾逊,F,11,2-3,1-1,0-2,0,1,"
1","
0",0,0,0,0,"
5","
+13"
以赛亚-泰勒,G,8,1-1,0-0,0-0,0,0,"
0","
2",0,1,0,1,"
2","
+16"
萨加巴-科纳特,F,5,1-2,0-1,2-2,0,1,"
1","
0",0,0,0,0,"
4","
+12"
诺曼-鲍威尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-洛瑞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗雷德-范弗利特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕斯卡尔-西亚卡姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,25,9-14,4-6,4-4,0,5,"
5","
4",1,2,4,0,"
26","
+30
"
托马什-萨托兰斯基,G,22,4-5,3-4,1-2,0,3,"
3","
4",0,0,2,0,"
12","
+20
"
劳里-马尔卡宁,F,22,4-10,2-4,5-6,4,9,"
13","
1",3,0,1,0,"
15","
+16
"
奥托-波特,F,20,4-10,2-5,1-2,2,4,"
6","
3",1,1,1,3,"
11","
+12
"
温德尔-卡特,C,17,1-6,0-0,0-0,3,4,"
7","
1",3,0,0,1,"
2","
+10
"
科比-怀特,G,23,6-16,4-12,2-2,1,1,"
2","
1",1,0,0,0,"
18","
+14"
克里斯-邓恩,G,21,2-6,1-4,0-0,0,4,"
4","
4",4,2,4,0,"
5","
+7"
赛迪斯-杨,F,20,1-2,0-1,0-0,0,7,"
7","
3",2,0,4,0,"
2","
+21"
卢克-科内特,F-C,15,3-8,2-7,0-0,2,1,"
3","
1",2,1,0,1,"
8","
+5"
里安-阿尔奇迪亚科诺,G,15,1-2,0-1,0-0,1,1,"
2","
4",2,1,0,1,"
2","
0"
丹尼尔-加福德,F-C,10,1-1,0-0,0-0,0,1,"
1","
0",1,0,0,0,"
2","
+2"
登泽尔-瓦伦丁,G,8,0-1,0-1,0-0,0,2,"
2","
0",2,0,2,0,"
0","
-16"
亚当,G,8,1-4,0-2,0-0,0,1,"
1","
0",2,1,1,0,"
2","
-16"
米尔顿-多伊尔,G,5,0-3,0-2,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-13"
Justin Simon,G,5,0-2,0-0,0-0,1,0,"
1","
0",0,0,0,0,"
0","
-12"
克里斯蒂亚诺-费利西奥,F-C,4,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-10"
钱德勒-哈奇森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙奎尔-哈里森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Perrion Callandret,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Simisola Shittu,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
