马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,22,7-13,3-6,1-1,0,1,"
1","
1",3,0,4,0,"
18","
+1"
德章泰-默里,G,18,3-7,0-1,0-0,0,2,"
2","
4",2,1,2,1,"
6","
-3"
德马尔-德罗赞,F,20,4-6,0-0,8-10,0,2,"
2","
1",1,0,2,0,"
16","
-9"
特雷-莱尔斯,F,19,1-5,0-2,3-3,1,5,"
6","
2",3,1,0,0,"
5","
-11"
雅各布-珀尔特尔,C,20,3-6,0-0,0-0,0,7,"
7","
1",2,1,2,2,"
6","
0"
德马雷-卡罗尔,F,21,4-8,3-4,2-2,0,4,"
4","
0",0,0,0,0,"
13","
-2"
德里克-怀特,G,18,2-3,0-1,0-0,1,3,"
4","
3",2,0,0,0,"
4","
-10"
马科-贝里内利,G-F,18,1-6,1-3,8-8,0,3,"
3","
1",1,0,2,0,"
11","
0"
帕蒂-米尔斯,G,17,4-9,2-5,0-0,0,2,"
2","
6",3,1,3,0,"
10","
-8"
朗尼-沃克,G,14,1-4,0-1,6-6,1,1,"
2","
1",0,1,0,1,"
8","
-3"
德鲁-尤班克斯,F,13,2-5,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
4","
-7"
奇梅齐耶-梅图,F,12,1-1,0-0,2-4,0,2,"
2","
0",1,0,1,0,"
4","
-4"
奎因达里-韦瑟斯庞,G,8,3-5,0-1,1-3,0,0,"
0","
2",3,0,1,0,"
7","
+3"
Dedric Lawson,F,8,0-1,0-0,0-0,0,2,"
2","
0",2,1,0,1,"
0","
+4"
戴德里克-劳森,F,8,0-1,0-0,0-0,0,2,"
2","
0",2,1,0,1,"
0","
+4"
凯尔登-约翰逊,F,5,1-1,0-0,0-0,0,0,"
0","
2",1,0,0,0,"
2","
+5"
Daulton Hommes,F-G,3,0-0,0-0,0-0,0,0,"
0","
0",1,0,1,0,"
0","
-3"
卢卡-沙马尼奇,F,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
鲁迪-盖伊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉马库斯-阿尔德里奇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朗佐-鲍尔,G,22,3-9,2-7,4-6,0,1,"
1","
6",2,0,3,0,"
12","
+9
"
朱-霍勒迪,G,22,7-11,0-3,2-2,0,3,"
3","
4",1,3,2,0,"
16","
+7
"
蔡恩-威廉森,F,31,8-11,0-1,6-8,2,8,"
10","
1",2,2,2,0,"
22","
+16
"
布兰登-英格拉姆,F,22,3-6,1-1,3-3,0,3,"
3","
2",3,1,1,0,"
10","
+4
"
德里克-费沃斯,C,18,0-3,0-0,0-0,1,2,"
3","
0",2,1,1,1,"
0","
+2
"
尼基尔-亚历山大-沃克,G,23,4-15,2-8,3-3,0,5,"
5","
7",2,1,1,1,"
13","
+2"
肯里奇-威廉姆斯,F-G,22,3-4,0-1,0-0,2,2,"
4","
1",3,1,0,0,"
6","
+14"
伊托万-摩尔,G,19,3-7,3-6,0-0,0,2,"
2","
2",3,0,1,0,"
9","
+6"
尼科勒-梅利,F-C,18,5-10,3-6,1-2,1,8,"
9","
0",4,1,1,2,"
14","
+4"
弗兰克-杰克逊,G,17,5-9,1-3,1-2,0,0,"
0","
1",1,0,1,0,"
12","
-2"
贾克森-海斯,C,7,0-0,0-0,0-0,0,1,"
1","
0",3,0,1,0,"
0","
-2"
约什-格雷,G,6,0-2,0-0,0-0,1,1,"
2","
1",1,0,1,0,"
0","
-3"
贾利尔-奥卡福,C,4,1-1,0-0,2-2,0,1,"
1","
0",1,0,0,0,"
4","
-2"
Kavell Bigby-Williams,F-C,3,1-1,0-0,1-2,0,0,"
0","
0",1,0,1,0,"
3","
-4"
Jalen Adams,G,3,1-1,0-0,0-0,0,1,"
1","
1",1,0,0,0,"
2","
-4"
Javon Bess,G,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-2"
JJ-雷迪克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-哈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Zylan Cheatham,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
