马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,21,5-10,3-7,1-1,0,1,"
1","
3",2,1,2,0,"
14","
+12"
德章泰-默里,G,20,0-3,0-0,1-4,0,7,"
7","
3",3,2,2,0,"
1","
+1"
德马尔-德罗赞,F,29,5-12,3-3,1-2,2,4,"
6","
5",1,0,0,0,"
14","
+12"
拉马库斯-阿尔德里奇,F,28,4-14,0-1,6-7,3,8,"
11","
3",1,2,1,2,"
14","
+9"
特雷-莱尔斯,C,16,0-3,0-2,0-0,1,5,"
6","
1",2,0,2,0,"
0","
+4"
鲁迪-盖伊,F,20,5-11,3-6,0-0,0,7,"
7","
3",3,0,2,0,"
13","
+4"
帕蒂-米尔斯,G,19,5-10,4-5,2-3,0,2,"
2","
1",2,0,2,0,"
16","
+4"
德里克-怀特,G,19,0-4,0-1,2-4,2,4,"
6","
4",1,1,0,1,"
2","
+19"
马科-贝里内利,G-F,17,3-8,1-4,2-2,0,0,"
0","
0",0,0,1,0,"
9","
+3"
雅各布-珀尔特尔,C,16,2-4,0-0,2-4,4,5,"
9","
0",4,1,2,1,"
6","
+7"
德马雷-卡罗尔,F,11,0-1,0-1,0-0,0,5,"
5","
3",2,0,3,0,"
0","
-1"
朗尼-沃克,G,8,4-6,0-0,1-1,0,1,"
1","
0",1,1,0,0,"
9","
+3"
奎因达里-韦瑟斯庞,G,4,0-0,0-0,0-0,0,0,"
0","
0",2,0,1,0,"
0","
-3"
奇梅齐耶-梅图,F,4,2-3,0-0,0-0,1,1,"
2","
0",0,0,1,0,"
4","
-3"
卢卡-沙马尼奇,F,4,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
凯尔登-约翰逊,F,4,1-1,0-0,0-0,0,0,"
0","
0",1,1,0,0,"
2","
-3"
达顿-霍姆斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,25,7-14,1-4,1-4,2,3,"
5","
6",1,0,3,2,"
16","
-4
"
狄龙-布鲁克斯,G,21,1-8,0-4,1-2,0,1,"
1","
0",5,0,1,0,"
3","
-9
"
杰-克劳德,F,29,3-11,1-7,4-4,1,10,"
11","
2",2,2,0,0,"
11","
-10
"
布兰登-克拉克,F,24,4-8,0-0,3-5,3,7,"
10","
2",2,0,0,0,"
11","
-12
"
小贾伦-杰克逊,C,28,4-12,1-5,2-2,0,5,"
5","
2",4,1,2,2,"
11","
-9
"
凯尔-安德森,F,24,3-10,1-2,0-0,2,5,"
7","
0",2,0,0,0,"
7","
-1"
格雷森-阿伦,G,23,3-8,2-5,4-4,1,0,"
1","
3",1,1,1,0,"
12","
0"
马尔科-古杜里克,G-F,22,1-6,0-3,0-0,1,3,"
4","
2",1,0,1,0,"
2","
-7"
泰厄斯-琼斯,G,21,3-9,0-2,3-3,0,1,"
1","
3",1,1,5,0,"
9","
-9"
布鲁诺-卡博克洛,F,20,3-7,1-3,2-2,3,8,"
11","
0",1,1,0,3,"
9","
-4"
渡边雄太,G-F,1,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,1,"
0","
0"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Bennie Boatwright,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
所罗门-希尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约纳斯-瓦兰丘纳斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈尔斯-普拉姆利,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹东尼-梅尔顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Bennie Boatwright,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
