开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,38,10-21,3-10,9-10,1,3,"
4","
8",3,1,3,0,"
32","
0"
CJ-麦科勒姆,G,36,5-18,2-4,0-0,2,1,"
3","
3",3,1,5,0,"
12","
-10"
罗德尼-胡德,F,31,5-10,2-5,1-1,1,4,"
5","
1",4,0,2,0,"
13","
+3"
扎克-科林斯,F,30,4-9,0-2,0-0,1,4,"
5","
0",3,0,2,2,"
8","
+2"
哈桑-怀特塞德,C,26,6-7,0-0,4-4,5,14,"
19","
0",4,0,4,2,"
16","
0"
肯特-贝兹莫尔,G-F,25,1-7,0-3,2-2,1,1,"
2","
0",2,5,0,0,"
4","
-11"
马里奥-海佐尼亚,F-G,18,0-3,0-1,2-2,0,4,"
4","
0",2,0,0,0,"
2","
-7"
安东尼-托利弗,F,13,0-1,0-1,0-0,0,0,"
0","
0",1,0,1,0,"
0","
-9"
安芬尼-西蒙斯,G,12,2-7,0-2,1-2,0,0,"
0","
0",2,2,1,0,"
5","
-5"
斯卡尔-拉比西埃,F-C,11,3-4,0-0,2-2,2,4,"
6","
1",1,0,2,0,"
8","
-3"
纳西尔-利特尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小加里-特伦特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-加索尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-哈里斯,G,35,3-11,1-5,1-1,0,3,"
3","
0",5,2,5,0,"
8","
+5
"
贾马尔-默里,G,34,4-14,3-6,3-4,1,4,"
5","
6",1,1,2,0,"
14","
+9
"
保罗-米尔萨普,F,32,3-8,3-4,2-2,0,5,"
5","
2",3,3,2,2,"
11","
+4
"
威尔-巴顿,F,31,3-8,2-3,11-12,1,4,"
5","
2",1,2,1,1,"
19","
+2
"
尼古拉-约基奇,C,24,8-14,3-5,1-2,4,9,"
13","
2",4,0,4,0,"
20","
+14
"
杰拉米-格兰特,F,21,3-4,2-2,1-2,1,1,"
2","
1",1,0,1,0,"
9","
+8"
梅森-普拉姆利,F-C,19,2-4,0-0,1-2,3,1,"
4","
5",2,1,0,0,"
5","
-8"
托里-克雷格,F-G,16,4-6,2-3,0-0,1,5,"
6","
2",4,1,1,1,"
10","
+2"
蒙特-莫里斯,G,14,2-6,0-0,2-2,0,1,"
1","
3",0,0,1,0,"
6","
-1"
马利克-比斯利,G,13,2-6,2-4,0-0,0,1,"
1","
1",2,1,2,0,"
6","
+5"
胡安-埃尔南戈麦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小迈克尔-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
