热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
泰勒-希罗,G,34,6-14,1-2,1-1,0,8,"
8","
1",2,2,1,0,"
14","
+10"
肯德里克-纳恩,G,27,10-18,1-2,3-3,0,2,"
2","
3",5,2,1,0,"
24","
+27"
贾斯蒂斯-温斯洛,F,37,10-21,1-2,6-9,2,5,"
7","
7",2,1,3,1,"
27","
+22"
巴姆-阿德巴约,F,24,3-7,0-0,8-10,4,7,"
11","
3",3,1,5,0,"
14","
+10"
迈耶斯-伦纳德,C,19,0-2,0-2,0-0,0,3,"
3","
0",4,1,0,0,"
0","
-6"
戈兰-德拉季奇,G,25,4-9,2-4,9-10,0,3,"
3","
3",1,1,4,2,"
19","
0"
邓肯-罗宾逊,F,23,1-5,1-5,0-0,0,1,"
1","
1",2,0,1,0,"
3","
-3"
凯利-奥利尼克,F,22,1-3,1-1,4-4,1,7,"
8","
0",4,1,2,2,"
7","
+21"
小德里克-琼斯,F-G,16,2-3,0-0,0-0,1,0,"
1","
0",5,0,1,0,"
4","
+4"
克里斯-席尔瓦,F,11,3-3,0-0,2-2,3,3,"
6","
0",5,0,2,3,"
8","
+18"
达里尔-梅肯,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
KZ-奥克帕拉,F,1,0-0,0-0,0-0,0,1,"
1","
0",0,0,1,0,"
0","
-4"
詹姆斯-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉米-巴特勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,25,6-12,0-1,2-4,0,4,"
4","
4",4,1,6,1,"
14","
-29
"
狄龙-布鲁克斯,G,18,3-7,1-2,0-0,0,5,"
5","
1",5,1,2,1,"
7","
-16
"
杰-克劳德,F,30,3-11,2-9,5-6,2,3,"
5","
2",1,1,1,0,"
13","
-9
"
小贾伦-杰克逊,F,30,5-12,0-6,7-9,1,2,"
3","
0",5,1,3,2,"
17","
-11
"
约纳斯-瓦兰丘纳斯,C,16,3-7,0-2,1-2,0,1,"
1","
1",5,1,3,1,"
7","
-19
"
马尔科-古杜里克,G-F,24,4-8,0-3,1-1,0,2,"
2","
2",1,0,3,0,"
9","
+6"
泰厄斯-琼斯,G,24,6-12,0-1,3-5,0,1,"
1","
7",4,2,2,0,"
15","
+6"
布兰登-克拉克,F,23,3-6,1-1,1-1,2,5,"
7","
1",1,0,0,1,"
8","
+6"
凯尔-安德森,F,21,2-4,0-1,0-0,3,5,"
8","
0",2,1,1,0,"
4","
-7"
格雷森-阿伦,G,21,2-6,1-5,0-0,0,1,"
1","
2",3,0,2,0,"
5","
-17"
布鲁诺-卡博克洛,F,5,1-4,0-1,0-0,1,2,"
3","
0",0,0,1,1,"
2","
-3"
丹东尼-梅尔顿,G,3,0-0,0-0,0-2,0,0,"
0","
2",0,1,0,0,"
0","
-2"
所罗门-希尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
