魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,28,7-13,2-4,0-2,1,2,"
3","
4",3,1,3,1,"
16","
-10"
DJ-奥古斯丁,G,25,4-9,1-2,0-0,0,3,"
3","
5",0,0,0,0,"
9","
+6"
阿龙-戈登,F,29,2-8,1-2,4-6,0,2,"
2","
3",4,2,1,1,"
9","
+1"
乔纳森-艾萨克,F,24,1-3,0-1,1-2,1,7,"
8","
2",4,1,2,2,"
3","
0"
尼古拉-武切维奇,C,34,8-16,1-5,4-5,1,8,"
9","
3",0,1,1,0,"
21","
+2"
艾尔-法鲁克-阿米奴,F,29,1-5,1-2,2-4,2,5,"
7","
0",2,1,1,0,"
5","
+14"
马克尔-富尔茨,G,23,6-12,0-3,0-0,0,0,"
0","
6",1,2,3,0,"
12","
+3"
特伦斯-罗斯,G-F,19,4-13,2-7,0-0,0,4,"
4","
0",1,2,1,0,"
10","
+17"
迈克尔-卡特-威廉姆斯,G,14,1-2,0-1,0-0,1,2,"
3","
0",2,1,1,0,"
2","
+5"
穆罕默德-班巴,C,14,3-5,1-3,0-0,1,6,"
7","
1",1,1,0,0,"
7","
+7"
约什-马杰特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯-伯奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦斯利-艾旺杜,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达里厄斯-加兰,G,32,3-9,2-4,0-0,1,1,"
2","
5",0,1,3,0,"
8","
-7
"
科林-塞克斯顿,G,30,5-15,3-8,3-4,1,1,"
2","
2",1,0,3,0,"
16","
-4
"
凯文-乐福,F,36,4-10,0-1,3-4,1,17,"
18","
3",2,1,2,0,"
11","
-15
"
切迪-奥斯曼,F,29,5-9,3-6,0-0,0,3,"
3","
2",1,2,2,0,"
13","
+6
"
特里斯坦-汤普森,C,33,8-11,0-0,0-0,2,9,"
11","
1",2,0,1,1,"
16","
0
"
小拉里-南斯,F-C,27,4-11,1-5,0-2,4,10,"
14","
2",5,0,4,1,"
9","
-3"
乔丹-克拉克森,G,18,2-12,0-5,3-3,1,1,"
2","
0",0,2,1,0,"
7","
-12"
马修-戴拉维多瓦,G,18,2-6,0-4,1-2,0,1,"
1","
3",2,1,0,0,"
5","
-5"
小凯文-波特,G,17,0-6,0-1,0-0,0,1,"
1","
2",2,1,0,0,"
0","
-5"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿方索-麦金尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-亨森,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪安-韦德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-奈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
