活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布鲁斯-布朗,G,17,1-3,0-1,0-0,0,2,"
2","
0",5,0,1,0,"
2","
-14"
雷吉-杰克逊,G,15,2-8,0-3,1-1,1,3,"
4","
3",1,0,0,0,"
5","
-1"
托尼-斯内尔,F,34,3-8,3-7,0-0,1,1,"
2","
2",2,0,0,1,"
9","
-17"
马基夫-莫里斯,F,26,3-11,1-4,0-0,3,3,"
6","
2",3,0,2,0,"
7","
-14"
安德烈-德拉蒙德,C,37,8-12,0-0,5-6,1,11,"
12","
2",4,4,4,1,"
21","
-15"
卢克-肯纳德,G,31,3-12,3-9,4-4,1,3,"
4","
3",0,1,1,0,"
13","
-3"
兰斯顿-加洛韦,G,26,2-9,2-7,2-2,0,3,"
3","
3",1,1,1,1,"
8","
-2"
德里克-罗斯,G,25,11-16,0-1,5-5,0,1,"
1","
3",1,0,3,0,"
27","
-8"
索恩-梅克,F-C,19,0-1,0-1,1-2,2,3,"
5","
1",0,0,1,2,"
1","
-1"
蒂姆-弗雷泽,G,10,2-5,1-4,2-2,0,0,"
0","
1",3,0,0,0,"
7","
-10"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塞古-敦布亚,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯维亚托斯拉夫-米哈伊柳克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂安-伍德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,37,11-21,6-10,10-12,0,7,"
7","
9",0,1,6,0,"
38","
+17
"
卡姆-雷迪什,G,21,0-6,0-5,1-2,1,6,"
7","
1",1,1,0,0,"
1","
+11
"
约翰-科林斯,F,30,8-15,1-3,1-1,3,7,"
10","
1",2,2,0,1,"
18","
+4
"
德安德烈-亨特,F,25,5-8,2-3,2-2,0,2,"
2","
0",0,0,2,0,"
14","
+12
"
亚历克斯-莱恩,C,24,1-5,0-2,2-2,2,4,"
6","
1",2,2,1,1,"
4","
+1
"
德安德烈-本布里,G-F,24,4-5,0-1,0-0,1,1,"
2","
3",1,2,0,0,"
8","
+11"
贾巴里-帕克,F,23,8-11,1-2,1-1,0,1,"
1","
0",1,0,0,0,"
18","
+10"
埃文-特纳,G-F,17,4-4,0-0,1-1,0,0,"
0","
4",0,1,0,0,"
9","
+7"
布鲁诺-费尔南多,F,14,3-6,1-1,0-0,1,2,"
3","
2",2,0,0,0,"
7","
+7"
凯文-赫尔特,G,14,0-3,0-2,0-0,0,4,"
4","
5",5,0,3,0,"
0","
-5"
文斯-卡特,G-F,10,0-2,0-2,0-0,0,0,"
0","
1",1,0,1,0,"
0","
+10"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-克拉布,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达米安-琼斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒂龙-华莱士,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
