黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德维恩-培根,G,21,4-11,0-1,0-3,0,4,"
4","
2",3,0,1,0,"
8","
-4"
特里-罗齐尔,G,18,4-6,1-1,2-2,0,1,"
1","
10",5,1,2,0,"
11","
+1"
PJ-华盛顿,F,29,4-8,1-4,1-2,2,8,"
10","
0",2,1,3,1,"
10","
+7"
迈尔斯-布里奇斯,F,27,5-8,3-6,4-6,0,2,"
2","
1",2,0,2,1,"
17","
-15"
俾斯麦-比永博,C,18,3-4,0-0,2-6,1,3,"
4","
2",4,0,1,1,"
8","
-5"
德文特-格雷厄姆,G,28,8-15,6-9,2-4,0,2,"
2","
4",3,0,3,0,"
24","
-26"
吉列尔莫-埃尔南戈麦斯,C,20,3-6,0-0,0-0,4,2,"
6","
0",1,1,1,1,"
6","
-7"
马利克-蒙克,G,20,0-3,0-2,0-0,0,1,"
1","
3",2,0,2,0,"
0","
-31"
凯莱布-马丁,F,18,2-8,0-2,0-1,0,2,"
2","
3",2,1,1,2,"
4","
-6"
科迪-马丁,G,17,1-4,0-2,2-2,0,4,"
4","
1",1,2,0,0,"
4","
-3"
马文-威廉姆斯,F,12,0-2,0-1,0-0,0,1,"
1","
0",3,0,2,0,"
0","
-20"
迈克尔-基德-吉尔克里斯特,F,10,2-7,1-1,0-0,1,3,"
4","
0",1,0,1,0,"
5","
-1"
杰伦-麦克丹尼尔斯,F,3,1-2,0-0,0-0,1,0,"
1","
0",0,0,0,0,"
2","
0"
科迪-泽勒,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安德鲁-威金斯,G,33,6-13,0-3,4-5,2,2,"
4","
2",1,1,1,1,"
16","
+19
"
杰夫-蒂格,G,22,1-4,0-2,2-3,0,2,"
2","
5",1,2,1,0,"
4","
+7
"
特雷韦恩-格雷厄姆,F,23,4-8,2-3,2-2,1,1,"
2","
0",1,0,1,0,"
12","
-7
"
罗伯特-科温顿,F,18,4-10,0-4,0-0,1,3,"
4","
1",3,1,0,0,"
8","
+4
"
卡尔-安东尼-唐斯,C,28,13-18,4-7,7-13,4,11,"
15","
8",3,4,2,2,"
37","
+25
"
约什-奥科吉,G,26,5-6,1-1,3-3,1,3,"
4","
3",3,1,3,0,"
14","
+28"
杰克-莱曼,F,25,4-13,4-9,0-0,0,1,"
1","
0",3,0,3,1,"
12","
+21"
沙巴兹-内皮尔,G,21,1-6,1-5,2-2,1,5,"
6","
9",1,1,2,2,"
5","
+18"
诺阿-冯莱,F,14,2-2,0-0,3-3,1,4,"
5","
1",2,0,1,0,"
7","
0"
贾勒特-卡尔弗,G-F,14,0-3,0-1,0-0,1,0,"
1","
1",1,1,0,0,"
0","
+4"
戈尔吉-吉昂,C,6,1-3,0-2,0-0,0,2,"
2","
0",0,0,1,0,"
2","
-3"
凯勒-马丁,F,5,0-3,0-1,0-0,0,1,"
1","
0",1,0,0,0,"
0","
-3"
乔丹-贝尔,F,5,2-2,0-0,0-0,1,4,"
5","
0",1,0,0,0,"
4","
-3"
纳兹-里德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯塔-贝茨-迪奥普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
