火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,36,8-29,2-18,11-12,0,4,"
4","
5",3,1,8,0,"
29","
+7"
拉塞尔-威斯布鲁克,G,34,9-17,1-3,9-10,0,10,"
10","
13",3,1,4,0,"
28","
-7"
PJ-塔克,F,38,6-9,2-3,2-2,2,3,"
5","
3",3,1,2,1,"
16","
+16"
丹纽尔-豪斯,F,30,4-6,4-5,3-3,1,7,"
8","
0",1,0,0,1,"
15","
0"
克林特-卡佩拉,C,25,7-9,0-0,1-1,2,4,"
6","
2",5,1,2,2,"
15","
+2"
埃里克-戈登,G-F,36,5-13,2-9,1-1,0,2,"
2","
1",2,1,0,0,"
13","
0"
奥斯汀-里弗斯,G,16,3-6,2-4,0-1,1,1,"
2","
0",3,0,0,0,"
8","
0"
萨博-塞福洛沙,F,14,0-2,0-1,0-0,2,4,"
6","
3",1,1,1,0,"
0","
-1"
泰森-钱德勒,C,7,1-1,0-0,0-0,1,1,"
2","
0",1,1,1,0,"
2","
-2"
本-麦克勒摩,G,4,0-2,0-2,0-0,0,0,"
0","
0",0,0,1,0,"
0","
0"
加里-克拉克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莱恩-安德森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朗佐-鲍尔,G,36,6-13,4-9,2-2,0,2,"
2","
10",2,3,0,0,"
18","
0
"
JJ-雷迪克,G,28,4-16,4-11,2-2,1,1,"
2","
1",5,0,5,0,"
14","
-2
"
布兰登-英格拉姆,F,39,14-22,4-7,3-5,1,14,"
15","
5",3,0,3,0,"
35","
-1
"
约什-哈特,F,34,8-17,5-12,2-2,0,3,"
3","
1",1,2,1,1,"
23","
-1
"
德里克-费沃斯,C,18,2-5,0-1,0-0,3,2,"
5","
2",2,1,4,0,"
4","
-9
"
肯里奇-威廉姆斯,F-G,32,1-4,0-2,0-0,2,3,"
5","
3",4,2,0,0,"
2","
-1"
弗兰克-杰克逊,G,18,3-9,1-5,2-2,1,1,"
2","
2",2,1,2,0,"
9","
-2"
尼基尔-亚历山大-沃克,G,12,1-4,0-2,0-0,0,1,"
1","
0",2,0,1,0,"
2","
-3"
贾利尔-奥卡福,C,12,3-4,0-0,0-0,1,4,"
5","
2",6,0,0,1,"
6","
+2"
尼科勒-梅利,F-C,11,4-6,0-1,2-3,0,2,"
2","
1",3,0,1,0,"
10","
+2"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾克森-海斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朱-霍勒迪,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊托万-摩尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
