马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,32,6-14,4-9,0-0,3,1,"
4","
3",2,0,3,0,"
16","
+3"
德章泰-默里,G,23,8-15,0-3,3-3,3,7,"
10","
4",1,2,1,1,"
19","
+5"
德马尔-德罗赞,F,36,11-24,0-0,4-4,0,4,"
4","
3",1,2,1,1,"
26","
+1"
拉马库斯-阿尔德里奇,F,33,10-17,2-3,5-7,3,6,"
9","
3",3,1,3,1,"
27","
+5"
特雷-莱尔斯,C,18,1-5,0-0,0-0,5,2,"
7","
3",0,0,0,0,"
2","
+7"
鲁迪-盖伊,F,27,4-9,0-3,0-0,3,6,"
9","
4",4,1,0,0,"
8","
-1"
德里克-怀特,G,20,4-6,2-3,0-0,0,1,"
1","
0",4,0,0,1,"
10","
+6"
帕蒂-米尔斯,G,19,2-5,2-4,0-0,0,0,"
0","
2",2,0,0,0,"
6","
-7"
雅各布-珀尔特尔,C,15,2-7,0-0,2-3,4,2,"
6","
4",0,0,1,3,"
6","
-3"
马科-贝里内利,G-F,12,1-5,0-3,0-0,0,1,"
1","
3",1,0,0,0,"
2","
-3"
朗尼-沃克,G,5,1-1,0-0,0-0,0,2,"
2","
0",1,0,0,0,"
2","
-3"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,38,8-25,3-8,6-7,1,4,"
5","
11",2,0,3,1,"
25","
-5
"
伊斯梅尔-史密斯,G,29,8-13,2-3,1-2,2,3,"
5","
4",1,1,1,0,"
19","
-3
"
八村垒,F,38,8-14,0-1,0-0,3,5,"
8","
3",0,1,2,1,"
16","
-5
"
伊萨克-邦加,F,26,2-4,0-0,0-1,1,5,"
6","
4",3,1,0,0,"
4","
+7
"
托马斯-布莱恩特,C,30,4-11,1-4,1-2,0,7,"
7","
1",3,0,2,2,"
10","
-6
"
戴维斯-贝尔坦斯,F,32,7-7,5-5,4-5,0,2,"
2","
1",0,0,0,1,"
23","
-6"
以赛亚-托马斯,G,20,6-14,4-10,0-0,0,3,"
3","
5",2,0,2,0,"
16","
+2"
莫里茨-瓦格纳,C-F,18,4-7,1-3,0-0,1,3,"
4","
1",4,0,2,3,"
9","
+4"
阿德米拉尔-斯科菲尔德,F,8,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+2"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克雷,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
CJ-迈尔斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特洛伊-布朗,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
