湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃弗里-布拉德利,G,23,5-9,1-1,1-3,0,3,"
3","
1",2,2,2,0,"
12","
+11"
丹尼-格林,G,19,3-6,2-5,0-0,0,0,"
0","
1",3,1,1,0,"
8","
+3"
安东尼-戴维斯,F,31,7-17,0-2,26-27,8,12,"
20","
2",2,0,0,2,"
40","
+19"
勒布朗-詹姆斯,F,28,8-15,2-5,5-7,0,2,"
2","
8",0,0,6,1,"
23","
+2"
贾维尔-麦基,C,29,5-7,0-0,0-1,1,8,"
9","
1",3,0,2,1,"
10","
+7"
肯塔维厄斯-考德威尔-波普,G,29,6-11,0-1,1-1,0,6,"
6","
3",3,0,1,1,"
13","
+26"
奎因-库克,G,22,3-8,1-5,0-0,0,3,"
3","
1",0,1,2,0,"
7","
+25"
特洛伊-丹尼尔斯,G,20,2-7,1-5,0-0,0,3,"
3","
1",0,0,1,0,"
5","
+7"
德怀特-霍华德,C,19,1-2,0-0,0-0,1,4,"
5","
2",5,1,1,2,"
2","
+22"
亚历克斯-卡鲁索,G,13,0-4,0-2,0-0,0,3,"
3","
4",0,3,2,1,"
0","
+14"
贾里德-杜德利,F,7,0-0,0-0,0-0,0,0,"
0","
1",1,1,0,0,"
0","
+9"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小扎克-诺维尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-库兹马,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,25,6-13,1-3,3-3,1,2,"
3","
2",3,2,4,0,"
16","
+9
"
狄龙-布鲁克斯,G,23,2-7,1-4,3-3,0,3,"
3","
4",3,1,0,0,"
8","
+13
"
杰-克劳德,F,27,3-8,1-6,2-3,1,4,"
5","
1",2,0,3,0,"
9","
-11
"
小贾伦-杰克逊,F,18,2-10,1-3,2-2,2,4,"
6","
1",5,1,1,0,"
7","
+11
"
约纳斯-瓦兰丘纳斯,C,23,5-10,0-2,4-4,3,8,"
11","
2",3,0,2,0,"
14","
-2
"
马尔科-古杜里克,G-F,23,0-5,0-4,0-0,0,2,"
2","
3",1,0,1,1,"
0","
-22"
格雷森-阿伦,G,21,4-14,1-6,4-4,1,4,"
5","
1",1,2,4,0,"
13","
-36"
布兰登-克拉克,F,19,4-9,0-0,2-2,1,0,"
1","
0",4,1,1,1,"
10","
-32"
凯尔-安德森,F,17,1-4,0-0,0-0,0,3,"
3","
2",1,0,1,0,"
2","
-19"
泰厄斯-琼斯,G,16,2-4,0-0,0-0,0,0,"
0","
2",0,0,0,0,"
4","
-27"
所罗门-希尔,F,13,2-6,2-4,2-2,2,2,"
4","
1",2,2,2,1,"
8","
-2"
布鲁诺-卡博克洛,F,8,0-3,0-2,0-0,1,1,"
2","
0",2,0,0,0,"
0","
-16"
丹东尼-梅尔顿,G,6,0-2,0-0,0-0,1,0,"
1","
1",0,1,2,0,"
0","
-11"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
