热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾斯蒂斯-温斯洛,G,30,1-7,0-3,0-0,1,5,"
6","
3",3,2,4,0,"
2","
+10"
肯德里克-纳恩,G,30,7-18,3-6,0-0,0,0,"
0","
3",1,1,3,0,"
17","
+14"
巴姆-阿德巴约,F,33,4-7,0-0,9-10,2,8,"
10","
3",4,2,2,3,"
17","
+27"
吉米-巴特勒,F,31,5-11,1-2,10-15,4,1,"
5","
2",1,3,4,0,"
21","
+15"
迈耶斯-伦纳德,C,25,1-2,1-2,0-0,1,8,"
9","
2",1,0,2,3,"
3","
+13"
戈兰-德拉季奇,G,30,7-12,5-9,2-4,0,3,"
3","
3",5,0,3,0,"
21","
-1"
泰勒-希罗,G,29,7-9,3-4,12-16,0,7,"
7","
2",0,0,2,0,"
29","
+9"
凯利-奥利尼克,F,18,0-5,0-5,0-0,1,2,"
3","
0",4,1,3,0,"
0","
-1"
克里斯-席尔瓦,F,14,1-2,0-0,0-0,4,1,"
5","
1",3,2,3,0,"
2","
-12"
邓肯-罗宾逊,F,1,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+1"
詹姆斯-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小德里克-琼斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卡姆-雷迪什,G,26,2-10,0-5,2-2,1,2,"
3","
6",5,3,6,0,"
6","
-17
"
特雷-杨,G,11,2-5,1-3,0-0,1,1,"
2","
2",0,1,2,0,"
5","
-4
"
约翰-科林斯,F,36,10-17,5-8,5-6,1,6,"
7","
4",4,1,1,1,"
30","
-7
"
德安德烈-亨特,F,28,2-8,0-3,0-0,0,3,"
3","
2",5,2,2,0,"
4","
-10
"
亚历克斯-莱恩,C,18,2-6,0-2,0-0,2,2,"
4","
2",1,0,2,4,"
4","
-20
"
德安德烈-本布里,G-F,27,4-7,1-1,0-2,0,1,"
1","
5",1,1,0,0,"
9","
-10"
贾巴里-帕克,F,23,5-11,1-5,1-2,0,2,"
2","
2",5,2,3,0,"
12","
0"
凯文-赫尔特,G,19,2-6,1-4,3-4,0,3,"
3","
3",1,1,3,0,"
8","
-2"
文斯-卡特,G-F,18,3-8,1-6,0-0,0,1,"
1","
0",1,0,1,0,"
7","
-4"
蒂龙-华莱士,G,14,1-2,0-0,4-6,2,1,"
3","
2",2,1,0,0,"
6","
+2"
布鲁诺-费尔南多,F,12,1-2,0-1,1-2,1,2,"
3","
0",3,1,0,1,"
3","
+2"
达米安-琼斯,C,8,1-1,1-1,0-0,1,0,"
1","
0",1,1,0,1,"
3","
-5"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-克拉布,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
