老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卡姆-雷迪什,G,29,2-11,1-4,4-4,0,6,"
6","
4",1,1,1,1,"
9","
-18"
凯文-赫尔特,G,26,3-9,1-5,0-0,1,3,"
4","
1",1,0,0,0,"
7","
-17"
约翰-科林斯,F,33,4-11,2-5,2-2,2,5,"
7","
1",2,1,2,3,"
12","
-2"
德安德烈-亨特,F,28,1-9,0-5,2-2,2,1,"
3","
1",0,1,3,1,"
4","
-14"
亚历克斯-莱恩,C,14,2-5,1-3,0-0,1,3,"
4","
1",3,0,2,0,"
5","
-9"
德安德烈-本布里,G-F,28,8-12,0-1,2-6,6,4,"
10","
8",1,2,4,0,"
18","
+2"
贾巴里-帕克,F,25,8-13,2-6,5-8,3,5,"
8","
2",4,0,1,0,"
23","
0"
蒂龙-华莱士,G,19,6-10,0-2,0-0,0,3,"
3","
2",2,0,3,0,"
12","
+9"
文斯-卡特,G-F,16,1-5,0-3,0-0,0,1,"
1","
0",1,0,0,0,"
2","
+1"
达米安-琼斯,C,16,1-3,0-0,2-2,1,3,"
4","
0",0,0,0,0,"
4","
+8"
布鲁诺-费尔南多,F,4,0-0,0-0,1-2,0,0,"
0","
0",0,0,0,0,"
1","
-5"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-杨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-克拉布,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,33,10-15,4-6,4-4,0,2,"
2","
0",3,2,3,0,"
28","
+7
"
邓肯-罗宾逊,G,27,5-10,2-6,0-0,0,3,"
3","
0",1,0,1,0,"
12","
-3
"
巴姆-阿德巴约,F,36,4-5,1-1,3-7,2,4,"
6","
7",3,1,0,2,"
12","
+7
"
吉米-巴特勒,F,35,2-10,0-2,1-2,1,8,"
9","
11",1,6,4,3,"
5","
+21
"
迈耶斯-伦纳德,C,25,6-10,3-4,1-2,0,8,"
8","
2",3,0,0,2,"
16","
+18
"
泰勒-希罗,G,30,7-16,3-9,0-0,1,3,"
4","
3",1,1,1,0,"
17","
-1"
凯利-奥利尼克,F,22,2-8,1-6,1-2,3,3,"
6","
2",1,1,0,1,"
6","
-10"
戈兰-德拉季奇,G,19,1-5,0-3,2-2,0,1,"
1","
3",2,0,3,0,"
4","
+4"
克里斯-席尔瓦,F,12,3-5,0-0,0-0,2,0,"
2","
1",3,1,1,1,"
6","
+2"
小德里克-琼斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
