鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,32,7-17,5-9,0-0,0,5,"
5","
7",2,2,2,0,"
19","
+5"
朗佐-鲍尔,G,32,4-7,1-2,0-0,0,3,"
3","
8",2,1,3,1,"
9","
+17"
布兰登-英格拉姆,F,36,7-12,2-4,9-11,0,3,"
3","
5",1,0,3,0,"
25","
+12"
尼科勒-梅利,F,19,2-5,1-4,2-2,0,4,"
4","
2",1,1,1,1,"
7","
+10"
贾利尔-奥卡福,C,34,8-13,0-0,10-13,0,5,"
5","
1",3,2,3,1,"
26","
+19"
约什-哈特,G,27,1-3,1-3,0-0,1,4,"
5","
1",2,0,1,0,"
3","
+2"
弗兰克-杰克逊,G,19,8-10,4-6,1-2,0,3,"
3","
0",2,1,1,0,"
21","
+10"
JJ-雷迪克,G,17,2-2,1-1,2-2,0,2,"
2","
2",0,0,0,1,"
7","
-4"
尼基尔-亚历山大-沃克,G,12,0-5,0-3,0-0,1,4,"
5","
3",2,0,0,0,"
0","
+5"
贾克森-海斯,C,9,2-2,0-0,1-2,0,2,"
2","
0",4,0,1,0,"
5","
-4"
肯里奇-威廉姆斯,F-G,3,0-1,0-1,0-0,0,0,"
0","
1",2,0,0,0,"
0","
+3"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-费沃斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊托万-摩尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-哈里斯,G,28,4-10,1-5,0-0,0,2,"
2","
0",0,1,0,1,"
9","
-16
"
贾马尔-默里,G,26,6-14,1-4,1-1,0,3,"
3","
6",2,1,3,0,"
14","
-11
"
托里-克雷格,F,20,1-4,0-3,0-0,0,2,"
2","
0",3,0,1,0,"
2","
-5
"
保罗-米尔萨普,F,15,3-8,0-0,4-4,1,2,"
3","
0",3,0,1,0,"
10","
-9
"
尼古拉-约基奇,C,27,5-6,0-1,3-3,0,6,"
6","
6",3,1,2,0,"
13","
-16
"
马利克-比斯利,G,28,4-13,3-6,0-0,0,2,"
2","
1",2,1,2,0,"
11","
-8"
杰拉米-格兰特,F,25,7-10,0-2,0-0,1,4,"
5","
0",2,0,1,1,"
14","
-12"
蒙特-莫里斯,G,22,4-10,1-1,0-0,0,0,"
0","
8",1,0,0,0,"
9","
-4"
小迈克尔-波特,F,21,5-8,1-3,4-6,1,3,"
4","
1",2,0,1,0,"
15","
+1"
梅森-普拉姆利,F-C,15,4-5,0-0,2-2,2,5,"
7","
1",6,1,3,1,"
10","
-2"
贾里德-范德比尔特,F,5,0-0,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
0","
+3"
胡安-埃尔南戈麦斯,F,5,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+3"
弗拉特科-钱查尔,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+1"
威尔-巴顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
