凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯巴-沃克,G,36,8-19,3-9,14-14,0,6,"
6","
5",0,1,3,0,"
33","
+4"
马库斯-斯马特,G,30,3-9,1-3,1-2,0,3,"
3","
3",4,3,2,0,"
8","
+1"
戈登-海沃德,F,35,5-11,3-6,0-1,0,9,"
9","
4",0,2,2,0,"
13","
+2"
杰森-塔特姆,F,34,9-17,4-8,2-2,1,5,"
6","
3",4,0,2,0,"
24","
+12"
丹尼尔-泰斯,C,27,2-3,0-0,1-1,1,7,"
8","
0",3,0,1,4,"
5","
+12"
格兰特-威廉姆斯,F,27,2-4,0-2,6-6,0,4,"
4","
1",1,0,1,0,"
10","
-5"
谢米-奥杰莱,F,16,0-2,0-2,2-2,0,0,"
0","
0",2,0,0,0,"
2","
-4"
布拉德-沃纳梅克,G,15,2-2,0-0,1-1,0,3,"
3","
4",0,1,3,0,"
5","
-3"
卡森-爱德华兹,G,14,1-6,0-4,0-0,0,4,"
4","
1",1,0,0,0,"
2","
-6"
樊尚-普瓦里耶,C-F,7,1-1,0-0,0-0,1,0,"
1","
0",1,0,0,0,"
2","
-3"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃内斯-坎特,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,39,5-17,1-4,4-6,2,5,"
7","
5",3,1,2,1,"
15","
-2
"
弗朗克-尼利基纳,G,38,4-9,2-4,0-0,1,2,"
3","
2",4,3,1,1,"
10","
-5
"
马库斯-莫里斯,F,39,8-17,5-8,8-11,2,7,"
9","
3",4,2,1,0,"
29","
-3
"
朱利叶斯-兰德尔,F,34,3-7,0-3,2-3,2,8,"
10","
5",1,1,6,0,"
8","
-5
"
米切尔-罗宾逊,C,16,3-5,0-0,0-1,2,4,"
6","
0",3,0,1,2,"
6","
-4
"
凯文-诺克斯,F,29,5-12,2-7,0-0,3,1,"
4","
3",2,1,0,0,"
12","
+4"
韦恩-艾灵顿,G,24,3-10,3-10,0-0,0,5,"
5","
3",2,1,1,0,"
9","
+8"
博比-波蒂斯,F,21,6-16,1-2,0-0,4,3,"
7","
1",4,0,1,0,"
13","
-3"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-吉布森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼斯-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃尔弗里德-佩顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹伊恩-多特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
