勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹吉洛-拉塞尔,G,33,9-24,3-11,9-10,0,3,"
3","
8",1,0,1,1,"
30","
-6"
乔丹-普尔,G,29,7-13,4-7,2-2,0,0,"
0","
1",3,0,1,0,"
20","
-8"
德雷蒙德-格林,F,34,2-7,2-4,0-0,1,7,"
8","
7",3,1,1,0,"
6","
-16"
格伦-罗宾逊三世,F,27,2-2,0-0,0-0,2,2,"
4","
1",2,0,0,0,"
4","
+1"
威利-考利-斯坦,C,17,3-7,0-0,0-0,0,5,"
5","
0",2,1,0,0,"
6","
-4"
达米恩-李,G,25,6-9,2-2,2-3,0,4,"
4","
2",1,1,2,0,"
16","
-4"
埃里克-帕斯卡尔,F,20,2-3,0-1,2-2,1,1,"
2","
1",3,1,2,0,"
6","
-20"
马基斯-克里斯,F,19,2-4,0-0,0-0,3,6,"
9","
2",1,0,3,1,"
4","
-3"
亚历克-伯克斯,G,16,5-9,2-2,2-2,0,1,"
1","
0",3,0,0,0,"
14","
-20"
凯-鲍曼,G,15,1-6,0-1,0-0,0,1,"
1","
2",2,0,1,0,"
2","
-11"
奥马里-斯佩尔曼,F,5,0-0,0-0,2-2,0,2,"
2","
1",1,0,0,0,"
2","
+6"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,26,5-13,3-9,1-1,0,2,"
2","
1",1,1,0,0,"
14","
+3
"
德里克-怀特,G,26,4-11,1-4,1-1,2,1,"
3","
1",4,0,1,0,"
10","
-6
"
德马尔-德罗赞,F,29,4-7,0-0,5-7,0,1,"
1","
11",1,0,3,0,"
13","
+10
"
拉马库斯-阿尔德里奇,F,26,8-15,0-3,6-6,5,3,"
8","
0",1,0,1,1,"
22","
+3
"
特雷-莱尔斯,C,28,0-4,0-3,0-0,1,13,"
14","
3",0,0,0,0,"
0","
+3
"
帕蒂-米尔斯,G,22,10-16,6-9,5-5,1,2,"
3","
2",3,1,2,0,"
31","
+23"
马科-贝里内利,G-F,22,2-6,1-3,4-4,0,0,"
0","
1",1,2,0,0,"
9","
+14"
雅各布-珀尔特尔,C,18,3-5,0-0,3-4,4,6,"
10","
1",2,0,1,0,"
9","
+22"
鲁迪-盖伊,F,18,7-9,2-3,0-0,1,5,"
6","
1",1,0,1,0,"
16","
+17"
德马雷-卡罗尔,F,17,1-3,0-1,0-0,0,2,"
2","
2",4,0,1,1,"
2","
+9"
奇梅齐耶-梅图,F,4,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-8"
朗尼-沃克,G,2,0-1,0-0,1-2,0,0,"
0","
0",0,0,0,0,"
1","
-2"
德鲁-尤班克斯,F,2,0-2,0-0,0-0,2,1,"
3","
0",1,0,1,0,"
0","
-3"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德章泰-默里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
