国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,37,8-17,0-1,9-12,2,3,"
5","
4",2,0,3,1,"
25","
+7"
巴迪-希尔德,G,30,9-16,0-5,0-0,1,4,"
5","
1",3,1,4,0,"
18","
+9"
哈里森-巴恩斯,F,31,6-13,1-3,0-0,4,2,"
6","
3",2,3,2,0,"
13","
-10"
内马尼亚-别利察,F,26,4-8,3-6,0-0,1,5,"
6","
3",2,1,1,0,"
11","
+14"
里乔恩-霍姆斯,C,20,4-6,0-0,0-0,1,1,"
2","
1",4,2,1,0,"
8","
-12"
特雷沃-阿里扎,F,32,0-0,0-0,0-0,0,5,"
5","
1",1,1,0,0,"
0","
-2"
德维恩-戴德蒙,C,27,4-10,1-6,1-1,2,5,"
7","
1",5,0,1,2,"
10","
+11"
波格丹-波格丹诺维奇,G,25,5-8,3-6,1-3,0,2,"
2","
1",3,0,2,0,"
14","
-1"
科里-约瑟夫,G,11,1-6,0-2,1-1,0,0,"
0","
0",1,0,2,0,"
3","
-11"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约吉-费雷尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈里-贾尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达全-杰弗里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,35,9-19,1-3,5-6,0,4,"
4","
2",2,3,0,0,"
24","
+10
"
迈克-康利,G,33,5-13,3-9,6-8,1,3,"
4","
4",2,4,4,0,"
19","
-5
"
博扬-波格丹诺维奇,F,36,6-12,3-4,2-2,0,6,"
6","
2",2,1,3,1,"
17","
-11
"
罗伊斯-奥尼尔,F,23,3-5,0-1,0-0,0,3,"
3","
4",4,1,1,0,"
6","
-25
"
鲁迪-戈贝尔,C,38,5-6,0-0,5-7,5,11,"
16","
0",2,1,3,2,"
15","
-7
"
乔-英格尔斯,F,30,2-6,2-5,0-0,0,2,"
2","
3",2,0,1,0,"
6","
+11"
杰夫-格林,F,23,2-6,2-5,2-2,0,0,"
0","
1",2,1,2,0,"
8","
+7"
伊曼纽尔-穆迪埃,G,15,3-5,0-1,0-2,0,0,"
0","
2",0,1,3,1,"
6","
+6"
埃德-戴维斯,C-F,8,0-1,0-0,0-0,0,1,"
1","
0",2,0,0,0,"
0","
+9"
丹特-埃克萨姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦顿-基德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托尼-布拉德利,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔治-尼昂,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
