步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰里米-兰姆,G,35,7-13,1-5,6-6,1,9,"
10","
1",3,2,1,1,"
21","
-7"
马尔科姆-布罗格登,G,33,8-16,1-4,8-8,2,6,"
8","
6",2,1,5,1,"
25","
-1"
TJ-沃伦,F,28,1-8,0-2,1-2,1,2,"
3","
0",3,0,0,0,"
3","
-1"
TJ-利夫,F,8,0-4,0-2,0-0,1,2,"
3","
0",2,1,0,0,"
0","
-5"
多曼塔斯-萨博尼斯,C,37,9-15,0-0,0-0,3,14,"
17","
4",4,0,2,2,"
18","
0"
戈加-比塔泽,C-F,25,3-7,1-3,3-4,3,6,"
9","
0",3,0,2,4,"
10","
+15"
贾斯廷-霍勒迪,F-G,23,3-6,2-4,0-0,0,4,"
4","
1",1,1,1,1,"
8","
+7"
道格-麦克德莫特,F,19,4-12,0-4,0-0,0,2,"
2","
1",3,1,1,0,"
8","
+12"
TJ-麦康奈尔,G,15,2-4,0-0,1-1,0,0,"
0","
6",1,0,0,0,"
5","
+8"
亚卡尔-桑普森,F,10,2-7,0-2,0-0,1,0,"
1","
0",2,0,0,1,"
4","
-1"
阿龙-霍勒迪,G,6,0-4,0-1,0-0,0,0,"
0","
1",0,2,0,0,"
0","
+8"
迈尔斯-特纳,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科林-塞克斯顿,G,37,9-21,2-5,1-2,0,3,"
3","
2",3,2,0,0,"
21","
+2
"
达里厄斯-加兰,G,26,0-10,0-2,2-4,0,1,"
1","
3",0,0,0,0,"
2","
+2
"
切迪-奥斯曼,F,38,3-8,2-4,2-2,0,4,"
4","
1",1,3,1,0,"
10","
+7
"
凯文-乐福,F,35,7-16,5-11,3-4,1,16,"
17","
4",2,1,6,0,"
22","
-7
"
特里斯坦-汤普森,C,31,3-8,0-0,1-2,1,9,"
10","
4",6,1,0,0,"
7","
+10
"
乔丹-克拉克森,G,27,6-12,1-6,7-7,0,2,"
2","
5",3,1,2,1,"
20","
-8"
小拉里-南斯,F-C,26,3-7,0-1,2-2,1,4,"
5","
1",2,0,3,0,"
8","
-15"
小凯文-波特,G,14,1-2,1-1,2-2,0,4,"
4","
0",3,0,3,0,"
5","
-16"
布兰登-奈特,G,6,0-3,0-2,0-0,0,0,"
0","
0",1,0,1,0,"
0","
-10"
迪安-韦德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿方索-麦金尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马修-戴拉维多瓦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-亨森,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
