独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,38,10-23,4-9,7-8,1,12,"
13","
15",3,0,6,1,"
31","
-4"
塞思-库里,G,23,1-5,1-4,1-1,0,2,"
2","
1",0,1,2,0,"
4","
-7"
克里斯塔普斯-波尔津吉斯,F,37,6-16,1-3,3-6,2,7,"
9","
0",5,0,2,0,"
16","
-13"
多里安-芬尼-史密斯,F,31,3-8,1-5,0-0,5,5,"
10","
1",4,3,4,0,"
7","
-12"
德怀特-鲍威尔,C,25,5-8,1-2,3-4,2,3,"
5","
0",2,0,3,0,"
14","
-1"
马克西-克勒贝尔,F,31,3-10,2-5,0-0,3,5,"
8","
0",2,0,1,0,"
8","
-14"
小蒂姆-哈达威,F-G,27,4-11,2-4,1-2,1,4,"
5","
1",1,0,1,0,"
11","
+2"
德朗-赖特,G,25,5-10,2-4,0-0,0,1,"
1","
2",0,1,1,0,"
12","
+1"
杰伦-布伦森,G,15,1-6,0-0,1-2,1,0,"
1","
2",1,0,1,0,"
3","
-2"
博班-马里亚诺维奇,C,11,2-5,0-0,0-0,3,4,"
7","
1",3,0,1,0,"
4","
+9"
贾斯廷-杰克逊,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
何塞-巴里亚,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃弗里-布拉德利,G,39,5-12,1-3,0-0,1,4,"
5","
2",3,2,1,0,"
11","
+11
"
丹尼-格林,G,34,5-9,3-6,1-2,0,1,"
1","
1",2,1,1,0,"
14","
+8
"
安东尼-戴维斯,F,43,15-28,0-5,1-2,2,6,"
8","
2",1,2,1,2,"
31","
+12
"
勒布朗-詹姆斯,F,43,13-23,4-9,9-11,0,12,"
12","
16",5,4,4,1,"
39","
+15
"
贾维尔-麦基,C,12,1-1,0-0,0-0,1,1,"
2","
0",3,0,0,1,"
2","
+1
"
德怀特-霍华德,C,27,1-1,0-0,2-2,1,7,"
8","
0",4,2,1,3,"
4","
+8"
肯塔维厄斯-考德威尔-波普,G,21,1-5,0-1,0-0,0,0,"
0","
1",2,0,1,0,"
2","
0"
凯尔-库兹马,F,19,3-8,0-4,3-4,1,2,"
3","
1",0,0,1,0,"
9","
-6"
亚历克斯-卡鲁索,G,16,3-5,1-2,0-0,0,2,"
2","
0",1,0,1,0,"
7","
-3"
特洛伊-丹尼尔斯,G,9,0-4,0-2,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-4"
奎因-库克,G,4,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+3"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小扎克-诺维尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
