勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯-鲍曼,G,39,6-11,2-6,2-2,1,6,"
7","
4",3,2,2,0,"
16","
-6"
乔丹-普尔,G,31,2-9,0-2,1-1,0,1,"
1","
3",5,0,3,0,"
5","
-6"
格伦-罗宾逊三世,F,36,6-12,4-7,0-0,3,6,"
9","
3",2,2,2,0,"
16","
+6"
埃里克-帕斯卡尔,F,35,10-18,0-5,5-8,0,4,"
4","
2",3,0,1,1,"
25","
-14"
威利-考利-斯坦,C,21,4-7,0-0,0-0,0,8,"
8","
2",3,1,0,1,"
8","
+6"
达米恩-李,G,27,5-11,3-6,0-0,1,1,"
2","
3",4,0,3,0,"
13","
-5"
亚历克-伯克斯,G,25,0-3,0-0,0-0,0,4,"
4","
3",0,0,1,1,"
0","
-4"
奥马里-斯佩尔曼,F,19,1-4,0-2,2-2,0,4,"
4","
1",1,0,3,1,"
4","
+2"
马基斯-克里斯,F,8,0-2,0-0,0-0,0,1,"
1","
2",1,0,3,1,"
0","
-9"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德维恩-培根,G,37,10-21,0-2,5-5,3,3,"
6","
2",1,2,0,0,"
25","
+15
"
特里-罗齐尔,G,37,8-17,0-4,4-8,0,5,"
5","
7",1,0,2,0,"
20","
+11
"
PJ-华盛顿,F,33,5-8,1-3,0-0,1,4,"
5","
2",4,2,1,0,"
11","
-2
"
迈尔斯-布里奇斯,F,29,1-10,0-4,0-0,3,5,"
8","
1",3,0,1,0,"
2","
-4
"
科迪-泽勒,C,20,4-7,0-2,2-4,4,4,"
8","
0",1,0,1,0,"
10","
+1
"
德文特-格雷厄姆,G,31,1-8,0-3,2-2,2,6,"
8","
3",0,1,5,0,"
4","
+6"
马文-威廉姆斯,F,24,3-7,3-7,2-2,1,2,"
3","
1",1,1,0,0,"
11","
0"
马利克-蒙克,G,20,4-7,1-4,0-0,1,2,"
3","
2",3,0,1,0,"
9","
+2"
俾斯麦-比永博,C-F,5,0-0,0-0,0-0,0,0,"
0","
0",1,0,1,0,"
0","
-3"
科迪-马丁,G,4,0-0,0-0,1-2,1,1,"
2","
0",0,0,0,1,"
1","
+4"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉列尔莫-埃尔南戈麦斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
