雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,36,8-14,3-5,4-5,1,7,"
8","
4",0,0,1,1,"
23","
+12"
克里斯-保罗,G,29,5-9,3-5,2-2,1,0,"
1","
9",2,3,3,0,"
15","
+11"
达尼罗-加里纳利,F,29,5-9,4-6,2-2,0,4,"
4","
0",2,1,0,0,"
16","
+5"
特伦斯-弗格森,F,5,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
+3"
纳伦斯-诺埃尔,C,24,4-8,0-0,0-0,1,2,"
3","
2",3,1,2,6,"
8","
-3"
哈米杜-迪亚洛,G,29,5-14,0-4,2-3,1,4,"
5","
1",3,1,1,1,"
12","
-3"
丹尼斯-施罗德,G,29,7-17,0-4,3-5,1,8,"
9","
2",2,1,1,1,"
17","
+20"
迈克-穆斯卡拉,F-C,20,0-4,0-3,0-0,1,2,"
3","
2",5,1,1,1,"
0","
+3"
达里厄斯-贝兹利,F-G,19,5-10,3-6,4-4,2,3,"
5","
0",0,0,1,1,"
17","
+6"
阿卜杜勒-纳迪尔,F,12,1-2,1-2,1-2,0,3,"
3","
0",0,0,2,0,"
4","
-4"
德翁特-伯顿,G-F,8,1-3,1-2,0-0,0,3,"
3","
0",1,0,0,0,"
3","
+5"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
史蒂文-亚当斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文-霍尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,35,6-15,2-5,2-2,0,3,"
3","
6",4,1,2,0,"
16","
-10
"
朗佐-鲍尔,G,33,4-11,2-5,0-2,2,6,"
8","
7",3,3,5,0,"
10","
+4
"
布兰登-英格拉姆,F,13,3-5,0-0,1-4,1,3,"
4","
1",0,0,1,1,"
7","
+4
"
尼科勒-梅利,F,10,1-2,0-1,2-2,0,2,"
2","
0",1,0,1,0,"
4","
-12
"
贾利尔-奥卡福,C,29,7-14,0-0,1-3,6,6,"
12","
3",5,0,4,2,"
15","
+2
"
约什-哈特,G,30,5-11,2-5,0-0,3,12,"
15","
3",2,1,1,1,"
12","
0"
JJ-雷迪克,G,27,6-12,4-9,1-2,0,3,"
3","
1",0,1,0,0,"
17","
-17"
弗兰克-杰克逊,G,22,4-11,0-3,4-5,0,0,"
0","
1",1,0,1,0,"
12","
-16"
肯里奇-威廉姆斯,F-G,19,1-3,1-3,0-0,1,2,"
3","
0",2,0,1,1,"
3","
0"
贾克森-海斯,C,14,2-5,0-0,0-0,4,1,"
5","
3",5,1,0,0,"
4","
-4"
尼基尔-亚历山大-沃克,G,8,1-5,0-1,2-2,0,1,"
1","
0",2,0,0,0,"
4","
-6"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-费沃斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊托万-摩尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
