步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰里米-兰姆,G,32,1-6,0-2,9-9,0,6,"
6","
5",3,1,1,3,"
11","
+12"
马尔科姆-布罗格登,G,31,9-15,1-4,3-3,0,3,"
3","
7",2,1,5,0,"
22","
+9"
TJ-沃伦,F,38,10-16,1-4,5-6,1,4,"
5","
3",2,1,1,0,"
26","
+16"
亚卡尔-桑普森,F,19,2-4,0-0,0-4,1,3,"
4","
0",2,0,2,1,"
4","
+6"
戈加-比塔泽,C,19,4-7,1-1,0-0,0,4,"
4","
3",6,0,1,4,"
9","
+3"
贾斯廷-霍勒迪,F-G,28,2-8,1-6,0-0,0,3,"
3","
0",2,0,1,1,"
5","
+6"
TJ-利夫,F,22,6-13,1-2,0-0,6,9,"
15","
1",2,1,2,1,"
13","
+6"
TJ-麦康奈尔,G,18,1-3,0-0,0-0,1,3,"
4","
4",0,1,0,0,"
2","
+4"
阿龙-霍勒迪,G,17,3-6,2-3,1-2,0,2,"
2","
2",1,1,1,0,"
9","
-2"
道格-麦克德莫特,F,17,2-7,1-4,2-3,1,2,"
3","
3",4,0,2,0,"
7","
+5"
迈尔斯-特纳,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
多曼塔斯-萨博尼斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,32,8-20,4-8,1-2,2,4,"
6","
2",1,0,3,0,"
21","
-10
"
托马什-萨托兰斯基,G,27,4-6,1-3,0-0,1,3,"
4","
9",1,2,4,0,"
9","
-10
"
劳里-马尔卡宁,F,29,3-9,1-4,4-5,0,6,"
6","
0",2,0,2,0,"
11","
-9
"
奥托-波特,F,27,1-10,1-4,1-2,0,3,"
3","
3",3,1,2,1,"
4","
-9
"
温德尔-卡特,C,28,9-10,0-0,2-6,3,7,"
10","
2",4,0,2,0,"
20","
-3
"
赛迪斯-杨,F,26,6-13,0-4,0-2,0,3,"
3","
1",1,3,1,0,"
12","
-10"
科比-怀特,G,24,0-6,0-2,1-2,0,4,"
4","
2",0,0,2,0,"
1","
-3"
克里斯-邓恩,G,19,1-4,0-1,0-0,0,2,"
2","
6",1,1,2,0,"
2","
-2"
里安-阿尔奇迪亚科诺,G,17,1-4,1-2,3-4,0,2,"
2","
1",6,1,0,1,"
6","
-4"
卢克-科内特,F-C,10,3-4,1-2,2-2,1,1,"
2","
1",2,0,0,0,"
9","
-5"
沙奎尔-哈里森,G,1,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-哈奇森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-加福德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
登泽尔-瓦伦丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
