勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯-鲍曼,G,37,9-14,1-3,0-0,0,4,"
4","
8",3,0,3,0,"
19","
+10"
乔丹-普尔,G,31,3-16,2-9,8-8,0,3,"
3","
5",2,0,1,1,"
16","
+7"
埃里克-帕斯卡尔,F,40,11-19,4-6,10-10,3,10,"
13","
0",2,0,1,1,"
36","
+11"
格伦-罗宾逊三世,F,31,2-5,0-0,1-2,1,5,"
6","
3",0,0,0,0,"
5","
+1"
威利-考利-斯坦,C,15,4-5,0-0,2-2,1,2,"
3","
2",3,2,1,0,"
10","
+7"
达米恩-李,G,29,4-8,0-1,8-9,0,4,"
4","
3",1,2,2,0,"
16","
+2"
亚历克-伯克斯,G,28,4-12,1-4,4-5,0,4,"
4","
2",3,0,2,0,"
13","
+6"
奥马里-斯佩尔曼,F,15,3-4,1-1,0-0,2,4,"
6","
2",1,0,0,1,"
7","
-4"
马基斯-克里斯,F,14,2-3,1-2,0-0,1,3,"
4","
3",2,0,0,1,"
5","
+5"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,37,15-26,5-13,4-4,1,1,"
2","
4",0,0,1,1,"
39","
-11
"
CJ-麦科勒姆,G,34,6-16,2-6,0-0,0,1,"
1","
6",2,0,0,0,"
14","
-9
"
罗德尼-胡德,F,36,1-8,0-1,2-2,3,3,"
6","
1",3,0,1,0,"
4","
-7
"
安东尼-托利弗,F,17,1-5,1-4,0-0,2,3,"
5","
1",0,0,1,1,"
3","
-7
"
哈桑-怀特塞德,C,28,10-14,0-0,2-5,5,6,"
11","
0",2,0,1,2,"
22","
-15
"
马里奥-海佐尼亚,F-G,26,4-6,3-5,0-0,1,4,"
5","
0",6,1,0,0,"
11","
+6"
肯特-贝兹莫尔,G-F,22,3-10,1-6,0-0,0,6,"
6","
1",3,1,2,0,"
7","
-11"
安芬尼-西蒙斯,G,19,5-10,1-3,3-3,0,2,"
2","
1",4,2,0,0,"
14","
+8"
斯卡尔-拉比西埃,F-C,15,2-8,0-1,0-0,4,1,"
5","
1",3,0,0,2,"
4","
+3"
小加里-特伦特,G,5,0-2,0-1,0-0,0,1,"
1","
1",0,1,0,0,"
0","
-2"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-加索尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
