太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
里基-卢比奥,G,34,6-14,3-5,6-6,0,7,"
7","
10",4,0,1,0,"
21","
+12"
德文-布克,G,32,15-19,3-4,7-7,0,4,"
4","
3",5,0,3,1,"
40","
+3"
凯利-乌布雷,F,32,5-9,1-2,3-6,1,5,"
6","
1",3,0,3,1,"
14","
0"
达里奥-沙里奇,F,25,2-6,1-3,0-0,2,4,"
6","
1",1,1,5,0,"
5","
-5"
阿隆-贝恩斯,C,32,6-9,3-5,0-0,1,6,"
7","
6",4,1,3,2,"
15","
+19"
米卡尔-布里奇斯,F-G,25,2-3,0-0,2-2,0,3,"
3","
1",3,2,1,0,"
6","
+2"
泰勒-约翰逊,G,20,4-7,0-3,0-0,0,1,"
1","
0",3,0,1,0,"
8","
0"
弗兰克-卡明斯基,F-C,20,0-5,0-3,3-6,0,4,"
4","
2",1,0,2,1,"
3","
-8"
杰文-卡特,G,10,0-2,0-2,0-0,1,1,"
2","
0",0,2,0,0,"
0","
-5"
卡梅伦-约翰逊,G,9,1-3,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
2","
+7"
杰德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃利-奥科博,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,38,3-11,1-4,1-2,0,3,"
3","
5",4,0,4,0,"
8","
-1
"
本-西蒙斯,G,36,2-8,0-0,2-2,0,5,"
5","
6",3,7,4,0,"
6","
-2
"
托拜厄斯-哈里斯,F,37,10-20,1-6,3-5,0,10,"
10","
2",6,2,2,0,"
24","
-9
"
富尔坎-科尔克马兹,F,34,6-13,4-7,4-5,1,4,"
5","
2",1,0,2,0,"
20","
-1
"
艾尔-霍弗德,C,35,13-20,5-8,1-2,3,2,"
5","
4",4,2,2,1,"
32","
-1
"
迈克-斯科特,F,18,3-5,1-2,0-0,1,2,"
3","
0",1,0,1,0,"
7","
+2"
凯尔-奥奎因,C-F,13,2-3,1-1,0-0,3,2,"
5","
0",2,0,1,1,"
5","
-4"
劳尔-内托,G,12,1-2,0-0,0-0,0,1,"
1","
2",0,0,2,0,"
2","
-3"
詹姆斯-恩尼斯,F,12,1-4,0-0,1-2,1,0,"
1","
0",4,0,1,0,"
3","
-3"
马蒂斯-赛布尔,F-G,5,1-3,0-1,0-2,0,0,"
0","
0",4,0,1,0,"
2","
-3"
特雷-伯克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢克-米尔顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳-博尔登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔尔-恩比德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
