森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安德鲁-威金斯,G,31,10-21,4-7,1-2,1,2,"
3","
0",3,0,2,2,"
25","
-17"
杰夫-蒂格,G,18,3-7,0-0,4-4,0,2,"
2","
3",5,1,2,1,"
10","
-25"
罗伯特-科温顿,F,23,5-9,3-6,2-2,0,4,"
4","
2",3,1,2,0,"
15","
-20"
特雷韦恩-格雷厄姆,F,23,1-5,1-4,0-0,1,1,"
2","
2",1,2,0,0,"
3","
-27"
戈尔吉-吉昂,C,17,3-9,0-3,4-4,4,2,"
6","
4",1,0,0,1,"
10","
-29"
杰克-莱曼,F,26,2-10,0-3,1-1,2,2,"
4","
0",4,2,1,0,"
5","
-21"
沙巴兹-内皮尔,G,25,4-12,2-8,0-0,0,3,"
3","
4",1,4,2,0,"
10","
+5"
贾勒特-卡尔弗,G-F,24,3-11,2-5,0-0,1,3,"
4","
1",3,1,2,0,"
8","
-7"
约什-奥科吉,G,22,1-6,0-2,1-3,1,6,"
7","
0",0,1,2,0,"
3","
0"
诺阿-冯莱,F,16,1-7,1-4,2-2,1,5,"
6","
1",1,0,0,0,"
5","
+3"
乔丹-贝尔,F,15,4-6,0-1,4-4,2,4,"
6","
3",1,0,2,0,"
12","
-2"
纳兹-里德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯塔-贝茨-迪奥普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯勒-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,24,8-14,1-4,5-6,1,8,"
9","
6",4,1,3,0,"
22","
+13
"
韦斯利-马修斯,G,22,3-6,2-4,0-0,1,1,"
2","
0",1,2,1,0,"
8","
+29
"
克里斯-米德尔顿,F,27,9-15,4-7,4-4,0,3,"
3","
4",2,2,2,0,"
26","
+18
"
扬尼斯-阿德托昆博,F,27,14-19,0-3,6-11,4,11,"
15","
6",4,0,3,0,"
34","
+28
"
布鲁克-洛佩斯,C,26,4-6,1-3,0-0,1,1,"
2","
2",3,1,0,3,"
9","
+18
"
唐特-迪温琴佐,G,20,6-11,3-4,2-4,1,6,"
7","
1",0,1,2,1,"
17","
+12"
罗宾-洛佩斯,C,19,0-2,0-1,1-2,2,1,"
3","
2",2,0,1,1,"
1","
+6"
凯尔-科沃尔,G-F,17,1-5,1-4,0-1,0,2,"
2","
0",0,0,1,0,"
3","
+13"
乔治-希尔,G,17,2-4,1-1,2-2,0,1,"
1","
1",1,0,1,0,"
7","
+7"
帕特-康诺顿,G-F,16,0-2,0-2,0-0,0,6,"
6","
1",1,0,1,0,"
0","
-5"
艾森-伊利亚索瓦,F,16,2-6,1-4,0-0,1,3,"
4","
0",2,1,1,1,"
5","
-1"
DJ-威尔森,F,7,1-3,0-2,0-0,0,2,"
2","
1",0,0,1,0,"
2","
+3"
斯特林-布朗,G,4,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-1"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
