灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
狄龙-布鲁克斯,G,32,7-18,0-7,3-4,3,6,"
9","
1",5,2,0,0,"
17","
+8"
贾-莫兰特,G,28,10-16,1-2,2-4,2,3,"
5","
6",3,1,3,0,"
23","
+12"
杰-克劳德,F,29,2-8,1-4,3-4,1,4,"
5","
2",4,3,4,0,"
8","
+4"
布兰登-克拉克,F,20,1-4,0-1,1-1,1,5,"
6","
1",0,0,1,4,"
3","
+7"
约纳斯-瓦兰丘纳斯,C,24,4-11,0-1,2-2,1,9,"
10","
3",3,0,1,1,"
10","
-2"
泰厄斯-琼斯,G,25,4-9,0-1,2-2,0,5,"
5","
4",0,3,1,0,"
10","
-16"
凯尔-安德森,F,25,4-9,0-2,2-2,2,3,"
5","
1",0,1,0,0,"
10","
-10"
布鲁诺-卡博克洛,F,24,5-8,1-3,0-0,3,2,"
5","
1",2,2,0,2,"
11","
-5"
马尔科-古杜里克,G-F,17,2-6,0-2,0-0,0,1,"
1","
0",1,1,3,0,"
4","
-13"
所罗门-希尔,F,15,1-5,0-2,2-2,0,0,"
0","
0",3,0,1,0,"
4","
-20"
约什-杰克逊,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹东尼-梅尔顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格雷森-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,37,12-28,7-16,13-18,4,6,"
10","
6",2,2,6,1,"
44","
+11
"
埃里克-戈登,G,32,5-17,3-9,3-5,0,5,"
5","
1",4,1,2,0,"
16","
-1
"
丹纽尔-豪斯,F,36,6-15,2-9,1-1,1,8,"
9","
1",2,1,2,3,"
15","
+5
"
PJ-塔克,F,34,0-1,0-1,0-0,1,5,"
6","
3",4,0,3,0,"
0","
-12
"
克林特-卡佩拉,C,29,5-10,0-0,0-1,6,7,"
13","
2",1,1,2,0,"
10","
+4
"
本-麦克勒摩,G,30,3-11,3-10,3-4,0,0,"
0","
3",2,1,1,0,"
12","
+12"
奥斯汀-里弗斯,G,24,3-9,1-4,0-0,0,3,"
3","
1",1,0,1,0,"
7","
+3"
泰森-钱德勒,C,7,0-0,0-0,0-0,0,1,"
1","
1",2,0,0,0,"
0","
+12"
萨博-塞福洛沙,F,7,1-2,1-1,0-0,2,2,"
4","
2",1,0,0,1,"
3","
+6"
克里斯-克莱蒙斯,G,3,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
-5"
以赛亚-哈尔滕施泰因,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-克拉克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莱恩-安德森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
