掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,33,9-15,1-2,2-4,2,3,"
5","
4",0,2,5,0,"
21","
+17"
加里-哈里斯,G,17,3-6,0-1,0-0,1,0,"
1","
0",0,1,0,0,"
6","
+15"
威尔-巴顿,F,32,5-10,2-2,3-5,1,9,"
10","
4",1,1,3,1,"
15","
+23"
保罗-米尔萨普,F,17,3-5,1-1,3-3,1,4,"
5","
3",3,0,1,0,"
10","
+16"
尼古拉-约基奇,C,23,4-12,1-4,0-1,0,5,"
5","
5",4,1,4,1,"
9","
+11"
杰拉米-格兰特,F,30,6-13,2-6,1-2,0,5,"
5","
3",2,2,1,0,"
15","
+3"
梅森-普拉姆利,F-C,23,5-9,0-0,0-0,1,6,"
7","
3",2,2,0,0,"
10","
+8"
蒙特-莫里斯,G,22,5-7,0-1,1-1,0,2,"
2","
8",2,1,1,1,"
11","
-3"
托里-克雷格,F-G,19,2-3,1-2,0-0,2,2,"
4","
4",5,0,2,0,"
5","
+2"
马利克-比斯利,G,17,1-3,1-3,0-0,0,1,"
1","
1",1,0,1,0,"
3","
+7"
小迈克尔-波特,F,3,2-2,0-0,0-0,1,0,"
1","
0",1,0,0,0,"
4","
-1"
胡安-埃尔南戈麦斯,F,2,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+1"
贾里德-范德比尔特,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
+1"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,33,4-14,2-8,1-3,0,2,"
2","
4",2,2,0,0,"
11","
-14
"
吉米-巴特勒,G,29,3-12,0-3,10-12,4,3,"
7","
4",0,2,3,0,"
16","
-23
"
贾斯蒂斯-温斯洛,F,30,5-11,0-2,0-0,1,5,"
6","
1",4,0,2,0,"
10","
-4
"
巴姆-阿德巴约,F,25,2-9,0-0,2-5,3,8,"
11","
3",2,0,1,2,"
6","
-19
"
迈耶斯-伦纳德,C,18,4-7,1-1,1-1,0,0,"
0","
1",3,0,1,0,"
10","
-15
"
戈兰-德拉季奇,G,25,3-7,2-3,1-2,0,1,"
1","
7",1,0,3,1,"
9","
-10"
凯利-奥利尼克,F,24,4-8,4-5,1-2,1,6,"
7","
1",4,2,0,1,"
13","
-8"
小德里克-琼斯,F-G,17,4-8,0-2,0-0,1,0,"
1","
0",2,2,0,0,"
8","
-4"
泰勒-希罗,G,15,1-4,0-1,0-0,0,3,"
3","
1",1,1,3,0,"
2","
-6"
邓肯-罗宾逊,F,11,1-6,0-4,0-0,1,1,"
2","
0",1,0,0,0,"
2","
-3"
詹姆斯-约翰逊,F,6,0-0,0-0,0-0,0,1,"
1","
0",0,3,0,0,"
0","
+3"
克里斯-席尔瓦,F,6,1-2,0-0,0-0,2,1,"
3","
1",1,0,0,1,"
2","
+3"
KZ-奥克帕拉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
