黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,43,7-19,3-8,5-5,2,3,"
5","
4",1,1,3,0,"
22","
+7"
德维恩-培根,G,13,0-3,0-0,0-0,0,0,"
0","
0",2,0,1,0,"
0","
-14"
迈尔斯-布里奇斯,F,43,8-10,2-3,0-3,0,3,"
3","
1",4,0,2,0,"
18","
+14"
PJ-华盛顿,F,24,6-9,0-2,4-4,0,3,"
3","
3",1,1,1,0,"
16","
-16"
科迪-泽勒,C,17,1-5,0-2,5-6,0,1,"
1","
1",0,0,1,0,"
7","
-24"
德文特-格雷厄姆,G,42,10-21,4-9,11-15,0,4,"
4","
6",2,3,2,0,"
35","
+14"
科迪-马丁,G,33,0-2,0-0,0-0,2,9,"
11","
3",4,1,1,0,"
0","
+27"
俾斯麦-比永博,C-F,17,6-7,0-0,3-8,5,1,"
6","
0",2,1,1,2,"
15","
+16"
马文-威廉姆斯,F,17,2-4,1-3,0-0,1,1,"
2","
1",1,0,1,1,"
5","
-2"
马利克-蒙克,G,15,2-8,0-4,0-1,0,2,"
2","
3",0,0,0,1,"
4","
-12"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉列尔莫-埃尔南戈麦斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,39,12-19,2-9,5-5,0,5,"
5","
8",4,0,5,0,"
31","
0
"
杰里米-兰姆,G,38,8-19,2-5,0-0,0,5,"
5","
2",1,2,0,0,"
18","
+7
"
TJ-沃伦,F,41,15-18,2-2,1-2,0,4,"
4","
3",1,2,2,1,"
33","
+13
"
亚卡尔-桑普森,F,20,3-5,1-2,0-0,2,2,"
4","
1",5,0,0,1,"
7","
+3
"
戈加-比塔泽,C,32,3-7,0-2,0-0,4,7,"
11","
4",6,0,3,4,"
6","
+15
"
贾斯廷-霍勒迪,F-G,24,2-6,1-2,0-0,0,2,"
2","
3",2,0,1,0,"
5","
-13"
阿龙-霍勒迪,G,23,2-7,2-4,0-0,0,4,"
4","
4",4,0,1,1,"
6","
-8"
道格-麦克德莫特,F,19,3-7,2-4,0-0,0,2,"
2","
1",3,0,2,0,"
8","
-18"
TJ-利夫,F,14,0-1,0-0,0-0,1,2,"
3","
1",6,1,1,0,"
0","
-7"
TJ-麦康奈尔,G,14,3-5,0-0,0-0,0,3,"
3","
0",2,0,3,0,"
6","
-2"
迈尔斯-特纳,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
多曼塔斯-萨博尼斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
