火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,35,10-23,6-16,10-13,0,4,"
4","
13",1,3,5,3,"
36","
+20"
拉塞尔-威斯布鲁克,G,30,8-18,1-3,1-4,0,8,"
8","
6",5,2,3,0,"
18","
+40"
丹纽尔-豪斯,F,39,6-10,5-6,0-0,0,6,"
6","
1",4,0,0,0,"
17","
+33"
PJ-塔克,F,38,9-14,4-8,0-0,5,6,"
11","
4",2,1,3,0,"
22","
+32"
克林特-卡佩拉,C,36,9-14,0-0,1-2,5,11,"
16","
2",3,1,1,6,"
19","
+20"
奥斯汀-里弗斯,G,27,4-7,4-4,0-0,1,2,"
3","
3",1,0,0,0,"
12","
-23"
本-麦克勒摩,G,20,1-6,1-6,0-0,0,1,"
1","
0",3,0,0,0,"
3","
-20"
萨博-塞福洛沙,F,9,1-3,0-0,0-0,0,1,"
1","
2",1,0,0,0,"
2","
-16"
克里斯-克莱蒙斯,G,3,0-2,0-2,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
泰森-钱德勒,C,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
以赛亚-哈尔滕施泰因,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-克拉克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莱恩-安德森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯-鲍曼,G,36,3-9,2-3,0-1,0,0,"
0","
4",2,1,3,0,"
8","
-10
"
乔丹-普尔,G,27,2-11,2-8,2-2,1,1,"
2","
2",1,1,2,1,"
8","
-14
"
格伦-罗宾逊三世,F,34,6-13,3-6,0-0,5,6,"
11","
1",2,0,2,0,"
15","
-28
"
埃里克-帕斯卡尔,F,34,6-15,2-4,5-5,0,6,"
6","
3",1,0,1,0,"
19","
-11
"
威利-考利-斯坦,C,20,1-6,0-0,2-2,3,1,"
4","
2",3,0,0,0,"
4","
-18
"
亚历克-伯克斯,G,31,10-18,3-8,5-6,0,8,"
8","
3",2,2,2,0,"
28","
+2"
达米恩-李,G,28,3-14,1-4,6-8,1,5,"
6","
3",0,0,0,0,"
13","
-10"
奥马里-斯佩尔曼,F,18,6-6,0-0,1-2,4,3,"
7","
3",0,2,0,0,"
13","
0"
马基斯-克里斯,F,13,1-4,0-0,2-2,2,5,"
7","
1",1,1,0,0,"
4","
+4"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
