独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,37,10-21,1-7,6-7,2,5,"
7","
7",3,0,6,0,"
27","
+6"
塞思-库里,G,7,1-2,0-1,3-5,0,0,"
0","
0",0,1,1,1,"
5","
-6"
克里斯塔普斯-波尔津吉斯,F,34,4-14,1-5,1-2,1,7,"
8","
1",1,0,2,0,"
10","
-3"
多里安-芬尼-史密斯,F,29,1-3,1-2,1-2,2,4,"
6","
0",1,1,2,0,"
4","
-5"
德怀特-鲍威尔,C,34,5-8,0-0,2-2,4,4,"
8","
2",4,1,1,0,"
12","
-1"
小蒂姆-哈达威,F-G,26,4-11,2-5,3-4,1,2,"
3","
2",4,0,0,0,"
13","
+15"
马克西-克勒贝尔,F,20,4-6,2-3,4-4,0,3,"
3","
2",2,0,0,0,"
14","
+6"
贾斯廷-杰克逊,F,17,4-6,1-2,2-2,1,5,"
6","
0",5,0,2,0,"
11","
+3"
何塞-巴里亚,G,16,3-6,3-4,2-2,1,0,"
1","
3",0,0,2,0,"
11","
0"
德朗-赖特,G,13,0-2,0-0,0-0,0,0,"
0","
2",2,0,0,0,"
0","
-10"
杰伦-布伦森,G,6,0-4,0-2,0-0,0,1,"
1","
1",0,1,0,0,"
0","
+1"
博班-马里亚诺维奇,C,2,0-1,0-0,0-0,0,0,"
0","
0",1,0,1,0,"
0","
-1"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,28,3-5,1-2,2-2,0,0,"
0","
1",6,0,1,0,"
9","
+12
"
马克尔-富尔茨,G,24,5-10,0-2,1-1,0,2,"
2","
2",5,3,2,0,"
11","
+9
"
阿龙-戈登,F,37,10-17,1-5,2-2,3,1,"
4","
1",6,2,4,0,"
23","
-6
"
乔纳森-艾萨克,F,32,5-8,1-2,2-2,1,9,"
10","
5",5,4,4,6,"
13","
+15
"
尼古拉-武切维奇,C,33,7-15,1-3,4-5,1,10,"
11","
7",2,1,2,1,"
19","
+5
"
DJ-奥古斯丁,G,28,4-6,2-3,3-3,0,0,"
0","
6",2,2,4,0,"
13","
-11"
迈克尔-卡特-威廉姆斯,G,21,4-9,0-1,5-5,3,4,"
7","
2",0,2,1,3,"
13","
-8"
肯-伯奇,C-F,15,1-2,0-0,1-4,1,2,"
3","
0",2,0,0,0,"
3","
-6"
艾尔-法鲁克-阿米奴,F,14,0-4,0-3,0-0,0,3,"
3","
1",1,0,0,0,"
0","
-14"
韦斯利-艾旺杜,F,7,0-4,0-3,2-4,1,3,"
4","
0",1,0,0,0,"
2","
-1"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-罗斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
穆罕默德-班巴,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-马杰特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
