猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,40,8-15,5-7,3-4,0,2,"
2","
6",5,2,6,0,"
24","
-6"
弗雷德-范弗利特,G,35,3-9,2-3,4-4,0,2,"
2","
5",0,1,1,0,"
12","
+7"
OG-阿奴诺比,F,37,7-10,3-4,1-3,0,6,"
6","
5",3,0,0,3,"
18","
+7"
帕斯卡尔-西亚卡姆,F,37,8-13,0-3,7-8,1,12,"
13","
5",1,2,3,0,"
23","
+9"
马克-加索尔,C,24,4-6,1-2,3-4,1,3,"
4","
2",2,1,2,0,"
12","
+6"
赛尔吉-伊巴卡,F-C,24,9-16,1-4,2-2,0,6,"
6","
2",2,2,1,0,"
21","
-2"
诺曼-鲍威尔,G-F,19,2-6,0-3,2-2,0,2,"
2","
1",1,1,0,0,"
6","
+3"
马特-托马斯,G,11,2-3,2-3,2-2,0,1,"
1","
0",0,1,0,0,"
8","
-3"
特伦斯-戴维斯,G,7,0-0,0-0,0-0,0,1,"
1","
1",5,0,1,0,"
0","
+2"
克里斯-布歇,F,5,0-0,0-0,0-0,0,0,"
0","
1",1,0,0,1,"
0","
-3"
德万-埃尔南德斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朗戴-霍利斯-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,34,7-16,1-3,2-5,1,6,"
7","
9",3,1,7,1,"
17","
-8
"
巴迪-希尔德,G,32,7-16,5-7,2-2,1,7,"
8","
0",2,1,2,1,"
21","
-14
"
哈里森-巴恩斯,F,39,7-15,4-9,8-10,1,3,"
4","
4",2,0,0,1,"
26","
+8
"
里乔恩-霍姆斯,F,31,4-8,0-0,0-0,3,5,"
8","
0",5,1,0,2,"
8","
+5
"
内马尼亚-别利察,C,16,2-7,1-4,0-0,1,1,"
2","
1",0,1,0,0,"
5","
-9
"
波格丹-波格丹诺维奇,G,32,7-14,6-11,2-2,0,2,"
2","
3",2,2,3,0,"
22","
+5"
科里-约瑟夫,G,18,5-9,0-2,0-0,2,2,"
4","
4",2,1,1,1,"
10","
+9"
德维恩-戴德蒙,C,17,2-6,2-5,0-0,2,1,"
3","
0",1,0,0,0,"
6","
-9"
特雷沃-阿里扎,F,17,1-4,1-3,2-2,1,3,"
4","
2",4,1,1,0,"
5","
-11"
约吉-费雷尔,G,5,0-0,0-0,0-0,0,1,"
1","
0",2,0,0,1,"
0","
+4"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈里-贾尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达全-杰弗里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
