奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,39,8-21,3-9,1-2,1,4,"
5","
9",3,0,4,0,"
20","
-2"
以赛亚-托马斯,G,29,5-9,1-4,0-0,0,2,"
2","
5",3,0,3,0,"
11","
-12"
八村垒,F,35,10-13,0-0,1-2,4,3,"
7","
3",3,2,2,0,"
21","
-15"
特洛伊-布朗,F,19,1-8,1-2,0-0,5,1,"
6","
1",2,2,3,0,"
3","
-13"
托马斯-布莱恩特,C,34,11-16,0-3,1-2,3,5,"
8","
4",2,1,3,1,"
23","
-8"
戴维斯-贝尔坦斯,F,26,2-10,1-8,0-0,0,3,"
3","
0",1,0,0,1,"
5","
+4"
伊斯梅尔-史密斯,G,19,3-4,1-1,0-0,0,1,"
1","
3",1,0,0,0,"
7","
-1"
CJ-迈尔斯,F-G,15,0-7,0-3,0-0,1,4,"
5","
0",2,0,0,0,"
0","
-2"
莫里茨-瓦格纳,C-F,14,4-6,0-1,0-0,2,6,"
8","
0",4,0,1,3,"
8","
-5"
乔丹-麦克雷,G-F,9,1-2,0-0,0-0,1,1,"
2","
1",3,0,2,0,"
2","
-11"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊萨克-邦加,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德米拉尔-斯科菲尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达里厄斯-加兰,G,32,6-11,1-2,2-2,1,1,"
2","
6",1,2,2,0,"
15","
+13
"
科林-塞克斯顿,G,31,7-19,2-5,0-0,1,1,"
2","
1",4,0,1,0,"
16","
+6
"
切迪-奥斯曼,F,37,5-9,1-3,0-0,1,2,"
3","
4",2,2,2,0,"
11","
+22
"
凯文-乐福,F,29,3-6,0-3,10-13,2,10,"
12","
2",3,0,3,2,"
16","
+4
"
特里斯坦-汤普森,C,36,8-12,0-0,5-6,9,3,"
12","
3",2,3,2,2,"
21","
+11
"
乔丹-克拉克森,G,22,4-14,1-7,1-1,2,2,"
4","
0",2,1,0,0,"
10","
-1"
小凯文-波特,G,21,5-11,0-3,3-3,0,3,"
3","
0",1,1,1,0,"
13","
+2"
小拉里-南斯,F-C,21,1-2,0-0,2-2,1,6,"
7","
1",0,1,0,1,"
4","
0"
马修-戴拉维多瓦,G,11,2-6,1-4,2-2,0,3,"
3","
1",2,0,1,0,"
7","
+8"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿方索-麦金尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-亨森,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪安-韦德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-奈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
