湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃弗里-布拉德利,G,25,4-9,1-4,0-0,1,4,"
5","
3",4,0,2,0,"
9","
+24"
丹尼-格林,G,23,1-7,1-5,1-1,1,2,"
3","
2",4,2,2,0,"
4","
+17"
勒布朗-詹姆斯,F,36,10-19,4-7,1-2,1,3,"
4","
6",2,0,3,0,"
25","
+16"
安东尼-戴维斯,F,35,11-17,0-0,4-4,2,6,"
8","
7",4,2,2,3,"
26","
+27"
贾维尔-麦基,C,16,4-7,0-0,1-1,3,7,"
10","
1",1,1,1,1,"
9","
+20"
凯尔-库兹马,F,25,3-9,1-7,0-0,1,4,"
5","
1",2,0,4,0,"
7","
-11"
亚历克斯-卡鲁索,G,19,3-6,0-1,0-0,0,3,"
3","
4",1,0,1,1,"
6","
+1"
肯塔维厄斯-考德威尔-波普,G,18,1-6,0-3,0-0,1,1,"
2","
3",0,1,0,0,"
2","
-3"
德怀特-霍华德,C,15,1-2,0-0,0-0,0,6,"
6","
1",4,0,1,0,"
2","
-10"
奎因-库克,G,15,1-4,0-2,0-0,0,0,"
0","
2",2,0,2,0,"
2","
-5"
特洛伊-丹尼尔斯,G,13,1-3,1-3,0-0,0,2,"
2","
0",0,0,0,0,"
3","
-1"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小扎克-诺维尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
邓肯-罗宾逊,G,24,1-7,1-6,0-0,0,3,"
3","
2",3,1,0,0,"
3","
-9
"
肯德里克-纳恩,G,23,4-11,0-4,2-2,0,3,"
3","
1",0,2,3,1,"
10","
-24
"
吉米-巴特勒,F,38,7-16,0-4,8-8,2,4,"
6","
3",0,2,0,0,"
22","
-13
"
巴姆-阿德巴约,F,38,4-7,0-0,3-8,3,6,"
9","
4",2,3,3,1,"
11","
-12
"
迈耶斯-伦纳德,C,12,0-1,0-1,0-0,0,1,"
1","
0",2,0,2,0,"
0","
-14
"
戈兰-德拉季奇,G,34,7-16,3-7,2-2,1,5,"
6","
7",0,0,2,0,"
19","
-3"
凯利-奥利尼克,F,30,3-11,1-6,1-2,0,3,"
3","
0",4,0,2,0,"
8","
-4"
泰勒-希罗,G,23,2-8,1-5,2-2,0,2,"
2","
0",0,1,0,0,"
7","
+2"
詹姆斯-约翰逊,F,15,0-3,0-2,0-0,2,2,"
4","
1",0,0,0,0,"
0","
+4"
克里斯-席尔瓦,F,2,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-2"
小德里克-琼斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里尔-梅肯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
