鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,30,6-13,1-4,3-5,1,5,"
6","
6",0,3,2,0,"
16","
-15"
朗佐-鲍尔,G,23,2-8,1-5,0-0,1,3,"
4","
2",0,2,4,0,"
5","
-9"
布兰登-英格拉姆,F,31,10-25,3-10,4-4,2,5,"
7","
1",5,1,3,1,"
27","
-25"
尼科勒-梅利,F,10,0-2,0-2,2-2,0,0,"
0","
0",2,0,1,1,"
2","
-7"
贾利尔-奥卡福,C,15,3-3,0-0,0-0,0,3,"
3","
2",1,0,2,3,"
6","
-13"
德里克-费沃斯,F,19,2-4,0-0,0-0,6,4,"
10","
1",1,0,1,0,"
4","
-10"
弗兰克-杰克逊,G,18,5-12,2-5,1-2,2,0,"
2","
1",3,1,2,0,"
13","
-2"
伊托万-摩尔,G,18,4-7,0-2,1-1,1,4,"
5","
1",2,0,0,0,"
9","
-10"
约什-哈特,G,17,1-9,0-6,0-0,0,3,"
3","
0",2,0,0,0,"
2","
-11"
JJ-雷迪克,G,17,0-1,0-0,1-2,0,3,"
3","
1",0,0,1,0,"
1","
-13"
尼基尔-亚历山大-沃克,G,16,4-8,3-5,2-2,0,2,"
2","
4",2,0,2,0,"
13","
+5"
贾克森-海斯,C,15,2-3,0-0,0-3,1,5,"
6","
0",1,0,0,1,"
4","
+5"
肯里奇-威廉姆斯,F-G,11,1-4,0-2,0-0,0,2,"
2","
2",4,0,0,0,"
2","
+15"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,36,3-15,3-10,3-4,0,5,"
5","
11",3,2,3,0,"
12","
+14
"
凯尔-洛瑞,G,16,2-5,2-5,0-0,0,2,"
2","
5",0,1,1,0,"
6","
+15
"
帕斯卡尔-西亚卡姆,F,39,17-28,5-10,5-5,3,7,"
10","
4",4,0,4,0,"
44","
+6
"
OG-阿奴诺比,F,30,7-13,5-7,2-2,2,5,"
7","
4",2,1,1,1,"
21","
+12
"
马克-加索尔,C,29,1-6,1-3,2-2,0,7,"
7","
1",4,1,3,1,"
5","
+17
"
诺曼-鲍威尔,G-F,29,6-10,2-4,4-5,0,4,"
4","
0",2,1,1,0,"
18","
+28"
特伦斯-戴维斯,G,16,0-1,0-1,0-0,0,1,"
1","
1",2,1,1,0,"
0","
+1"
克里斯-布歇,F,14,1-6,0-1,3-4,3,5,"
8","
1",2,1,0,1,"
5","
+4"
赛尔吉-伊巴卡,F-C,12,3-6,0-0,2-2,1,5,"
6","
0",1,0,1,0,"
8","
+9"
马特-托马斯,G,12,1-2,1-2,0-0,1,1,"
2","
0",3,1,2,0,"
3","
-5"
马尔科姆-米勒,F,5,0-0,0-0,0-0,0,1,"
1","
0",1,0,0,0,"
0","
-10"
斯坦利-约翰逊,F,1,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
朗戴-霍利斯-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
