黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,35,5-14,3-7,5-5,0,5,"
5","
6",3,0,3,0,"
18","
-9"
德维恩-培根,G,27,5-11,2-4,0-0,0,1,"
1","
3",3,1,4,0,"
12","
-13"
迈尔斯-布里奇斯,F,25,5-11,2-6,0-0,3,5,"
8","
1",3,0,1,2,"
12","
-11"
PJ-华盛顿,F,25,3-9,0-0,4-5,4,3,"
7","
2",2,2,2,0,"
10","
+1"
科迪-泽勒,C,28,4-7,0-1,2-3,3,5,"
8","
2",3,1,2,0,"
10","
-13"
德文特-格雷厄姆,G,31,5-14,4-10,10-13,2,3,"
5","
10",2,2,4,0,"
24","
+4"
科迪-马丁,G,21,4-7,0-2,1-2,0,3,"
3","
2",4,2,1,0,"
9","
+6"
马利克-蒙克,G,19,4-8,1-3,0-0,0,2,"
2","
1",3,0,2,0,"
9","
+2"
马文-威廉姆斯,F,16,0-3,0-2,2-2,0,1,"
1","
0",1,1,1,0,"
2","
-3"
俾斯麦-比永博,C-F,12,1-4,0-0,2-4,1,1,"
2","
0",3,1,1,0,"
4","
+11"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉列尔莫-埃尔南戈麦斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,36,4-12,0-5,4-4,1,4,"
5","
11",4,2,4,1,"
12","
+8
"
JJ-雷迪克,G,29,6-13,5-9,5-5,0,5,"
5","
0",3,2,4,2,"
22","
+15
"
布兰登-英格拉姆,F,36,8-12,3-4,6-11,1,8,"
9","
4",4,1,7,0,"
25","
+4
"
肯里奇-威廉姆斯,F,28,6-8,3-5,0-2,2,3,"
5","
3",3,2,0,1,"
15","
+7
"
德里克-费沃斯,C,29,5-10,0-0,0-0,3,7,"
10","
3",3,2,1,0,"
10","
+10
"
约什-哈特,G,23,4-5,2-3,0-0,1,6,"
7","
2",3,2,0,0,"
10","
+3"
贾克森-海斯,C,18,3-3,0-0,3-4,0,1,"
1","
0",2,0,0,2,"
9","
-2"
伊托万-摩尔,G,14,2-4,0-1,0-0,0,0,"
0","
0",2,1,1,0,"
4","
-1"
弗兰克-杰克逊,G,13,0-2,0-2,3-4,0,0,"
0","
2",2,1,1,0,"
3","
-2"
尼基尔-亚历山大-沃克,G,8,2-4,1-2,0-0,0,2,"
2","
0",2,0,5,0,"
5","
-6"
尼科勒-梅利,F,5,0-2,0-2,0-0,1,0,"
1","
0",0,0,3,0,"
0","
-11"
朗佐-鲍尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾利尔-奥卡福,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
