太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,39,9-18,0-2,3-3,1,2,"
3","
9",5,0,5,1,"
21","
-5"
里基-卢比奥,G,39,8-17,3-6,2-2,0,4,"
4","
10",1,0,1,0,"
21","
-6"
达里奥-沙里奇,F,35,7-11,4-6,0-0,1,6,"
7","
2",4,0,1,0,"
18","
-9"
凯利-乌布雷,F,19,0-5,0-4,1-2,1,3,"
4","
1",3,0,2,0,"
1","
0"
阿隆-贝恩斯,C,26,6-10,4-6,4-6,1,5,"
6","
3",3,0,0,0,"
20","
-8"
卡梅伦-约翰逊,G,27,3-9,3-8,2-2,1,3,"
4","
1",4,0,1,0,"
11","
-9"
弗兰克-卡明斯基,F-C,23,7-10,2-3,0-0,1,8,"
9","
3",1,2,0,0,"
16","
-4"
泰勒-约翰逊,G,17,2-8,0-2,0-0,0,1,"
1","
2",0,0,1,0,"
4","
-1"
米卡尔-布里奇斯,F-G,15,1-3,0-1,1-2,0,1,"
1","
1",1,1,0,3,"
3","
+2"
杰德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃利-奥科博,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰文-卡特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃弗里-布拉德利,G,28,4-8,0-2,0-0,2,0,"
2","
5",2,0,0,0,"
8","
-7
"
丹尼-格林,G,25,5-8,3-5,1-2,0,1,"
1","
3",5,0,1,0,"
14","
+7
"
安东尼-戴维斯,F,38,9-17,1-2,5-6,3,9,"
12","
4",1,2,1,1,"
24","
+6
"
勒布朗-詹姆斯,F,37,8-18,1-4,2-7,0,7,"
7","
11",0,0,1,0,"
19","
-2
"
贾维尔-麦基,C,11,5-5,0-0,1-3,1,2,"
3","
3",2,0,2,1,"
11","
-3
"
凯尔-库兹马,F,25,9-16,3-6,2-2,0,4,"
4","
0",3,1,1,0,"
23","
+10"
亚历克斯-卡鲁索,G,25,1-4,0-1,0-0,0,0,"
0","
3",1,1,0,1,"
2","
+15"
德怀特-霍华德,C,20,6-9,0-0,0-1,2,7,"
9","
1",5,0,3,1,"
12","
+3"
拉简-隆多,G,14,2-6,1-3,0-0,0,6,"
6","
7",1,0,0,0,"
5","
+4"
奎因-库克,G,9,1-3,1-2,0-0,0,0,"
0","
2",1,0,0,0,"
3","
+9"
肯塔维厄斯-考德威尔-波普,G,8,1-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-2"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小扎克-诺维尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特洛伊-丹尼尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
