步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
阿龙-霍勒迪,G,31,6-10,2-5,3-3,0,3,"
3","
4",2,2,1,0,"
17","
+23"
马尔科姆-布罗格登,G,25,8-16,2-4,2-2,1,5,"
6","
5",4,0,3,0,"
20","
+23"
TJ-沃伦,F,31,10-14,1-2,2-2,0,3,"
3","
3",2,2,1,1,"
23","
+31"
亚卡尔-桑普森,F,17,2-3,1-1,0-0,0,3,"
3","
0",5,1,1,0,"
5","
+6"
多曼塔斯-萨博尼斯,C,29,9-19,0-0,0-0,7,9,"
16","
2",3,0,2,1,"
18","
+27"
贾斯廷-霍勒迪,F-G,29,0-6,0-4,3-3,2,4,"
6","
1",2,0,0,0,"
3","
+13"
道格-麦克德莫特,F,26,4-11,1-6,0-0,0,3,"
3","
1",0,0,2,0,"
9","
+8"
TJ-麦康奈尔,G,24,3-8,0-0,0-0,0,6,"
6","
3",1,1,4,0,"
6","
+8"
TJ-利夫,F,15,2-3,0-0,1-2,0,1,"
1","
0",0,1,0,1,"
5","
-2"
阿利兹-约翰逊 ,F,6,1-1,0-0,1-1,1,1,"
2","
1",1,0,0,0,"
3","
-1"
纳兹-米特鲁-朗,G,3,0-1,0-1,0-0,0,0,"
0","
1",0,0,0,1,"
0","
-3"
布赖恩-鲍恩二世,F,3,1-2,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-3"
迈尔斯-特纳,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈加-比塔泽,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,28,3-11,1-3,4-4,3,3,"
6","
0",1,1,4,0,"
11","
-19
"
克里斯-保罗,G,25,2-7,0-2,3-4,0,5,"
5","
8",2,3,3,0,"
7","
-10
"
达尼罗-加里纳利,F,24,3-8,0-3,8-8,1,3,"
4","
0",0,1,0,0,"
14","
-17
"
哈米杜-迪亚洛,F,22,1-4,0-1,0-0,0,3,"
3","
1",3,1,1,0,"
2","
-14
"
史蒂文-亚当斯,C,19,5-8,0-0,0-0,1,4,"
5","
1",0,0,0,0,"
10","
-4
"
丹尼斯-施罗德,G,25,3-10,1-4,2-2,0,2,"
2","
2",2,1,2,0,"
9","
-21"
达里厄斯-贝兹利,F-G,23,3-6,1-2,1-2,2,4,"
6","
0",1,0,0,0,"
8","
-12"
纳伦斯-诺埃尔,F-C,21,1-4,0-0,0-0,0,1,"
1","
2",3,2,1,3,"
2","
-16"
阿卜杜勒-纳迪尔,F,20,2-9,0-3,2-2,1,2,"
3","
2",1,0,3,1,"
6","
-11"
德翁特-伯顿,G-F,18,5-12,3-6,0-0,0,3,"
3","
1",1,0,1,0,"
13","
-5"
迈克-穆斯卡拉,F-C,8,0-1,0-1,1-2,1,1,"
2","
2",1,0,0,0,"
1","
-6"
德文-霍尔,G,7,1-1,0-0,0-0,0,0,"
0","
0",1,0,1,0,"
2","
+5"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-弗格森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
