爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,38,13-26,0-5,4-4,3,3,"
6","
2",1,1,2,0,"
30","
+16"
迈克-康利,G,30,6-15,0-5,6-9,0,4,"
4","
5",1,0,2,0,"
18","
-3"
博扬-波格丹诺维奇,F,30,5-13,1-3,1-2,1,3,"
4","
1",2,1,0,0,"
12","
-3"
罗伊斯-奥尼尔,F,22,2-3,2-3,2-2,0,1,"
1","
2",3,1,2,0,"
8","
+1"
鲁迪-戈贝尔,C,38,8-10,0-0,2-4,4,11,"
15","
2",2,2,2,2,"
18","
0"
乔-英格尔斯,F,32,0-6,0-4,3-4,0,5,"
5","
2",3,0,1,1,"
3","
+4"
杰夫-格林,F,22,4-9,3-5,2-2,1,3,"
4","
0",2,1,2,1,"
13","
-3"
伊曼纽尔-穆迪埃,G,18,4-8,0-1,7-8,0,3,"
3","
2",1,1,0,0,"
15","
+8"
托尼-布拉德利,C,10,1-2,0-0,0-0,2,2,"
4","
0",3,0,0,0,"
2","
+5"
丹特-埃克萨姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦顿-基德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔治-尼昂,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯里-欧文,G,37,10-30,2-12,5-5,1,2,"
3","
5",4,1,4,1,"
27","
+7
"
加莱特-坦普尔,G,30,3-8,1-6,3-3,1,0,"
1","
2",2,0,1,1,"
10","
-1
"
乔-哈里斯,F,36,4-10,2-5,1-2,0,5,"
5","
0",5,0,2,0,"
11","
-22
"
托里恩-普林斯,F,34,6-9,3-5,0-0,1,5,"
6","
0",2,1,2,0,"
15","
-1
"
贾勒特-阿伦,C,18,1-2,0-0,2-2,2,5,"
7","
1",6,0,2,2,"
4","
-14
"
德安德烈-乔丹,C,30,6-8,0-0,3-4,5,12,"
17","
4",2,2,2,2,"
15","
+9"
斯潘塞-丁威迪,G,24,7-16,2-6,5-7,0,1,"
1","
4",4,0,3,0,"
21","
+5"
扎南-穆萨,G-F,15,4-5,1-2,0-0,0,0,"
0","
1",2,0,0,0,"
9","
-9"
尼古拉斯-克拉克斯顿,F,12,0-2,0-1,0-0,0,2,"
2","
1",1,1,0,0,"
0","
-5"
大卫-努瓦巴,G,5,0-0,0-0,2-2,0,1,"
1","
1",1,0,0,2,"
2","
+6"
罗季翁斯-库鲁茨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒂莫泰-卢瓦乌-卡巴罗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里斯-勒韦尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔森-钱德勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亨利-埃伦森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
