尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,30,3-10,0-2,2-2,1,6,"
7","
2",2,1,4,0,"
8","
0"
弗朗克-尼利基纳,G,18,1-4,1-2,2-2,1,2,"
3","
2",5,1,0,0,"
5","
+4"
朱利叶斯-兰德尔,F,36,8-18,1-5,0-0,4,6,"
10","
3",2,0,6,0,"
17","
-5"
马库斯-莫里斯,F,33,7-19,5-7,1-1,0,5,"
5","
0",3,1,1,1,"
20","
+11"
泰-吉布森,C,15,2-4,0-0,0-0,2,4,"
6","
2",4,0,1,0,"
4","
-4"
丹尼斯-史密斯,G,30,5-12,2-4,1-2,4,2,"
6","
8",2,0,2,0,"
13","
-1"
丹伊恩-多特森,G,23,3-8,1-5,0-0,0,2,"
2","
3",1,3,0,0,"
7","
+10"
米切尔-罗宾逊,C,22,7-8,0-0,2-2,3,5,"
8","
0",6,0,1,1,"
16","
+3"
博比-波蒂斯,F,17,4-8,2-3,0-0,0,5,"
5","
0",1,0,0,0,"
10","
+3"
凯文-诺克斯,F,14,2-3,1-2,1-2,0,1,"
1","
0",1,0,0,0,"
6","
-8"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃尔弗里德-佩顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,36,10-23,3-12,10-13,1,9,"
10","
11",1,3,3,1,"
33","
-3
"
塞思-库里,G,23,1-5,0-4,0-0,1,1,"
2","
1",3,0,0,0,"
2","
+3
"
克里斯塔普斯-波尔津吉斯,F,33,7-17,1-5,5-5,4,7,"
11","
1",1,1,2,3,"
20","
+2
"
多里安-芬尼-史密斯,F,23,3-4,1-2,0-2,0,2,"
2","
1",2,1,1,1,"
7","
-4
"
德怀特-鲍威尔,C,29,5-9,1-1,1-1,2,2,"
4","
2",1,0,0,0,"
12","
+5
"
小蒂姆-哈达威,F-G,25,4-10,2-7,2-4,0,4,"
4","
0",3,0,0,1,"
12","
+1"
德朗-赖特,G,22,1-2,0-1,2-2,0,2,"
2","
2",1,2,2,1,"
4","
-7"
马克西-克勒贝尔,F,18,0-3,0-2,0-0,1,3,"
4","
0",1,0,1,0,"
0","
-10"
杰伦-布伦森,G,15,1-4,0-2,1-2,0,0,"
0","
2",0,1,1,0,"
3","
+1"
博班-马里亚诺维奇,C,15,4-7,0-0,2-2,3,2,"
5","
1",3,0,1,0,"
10","
-3"
贾斯廷-杰克逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
何塞-巴里亚,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
