鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,37,13-24,5-7,5-7,3,1,"
4","
7",1,6,7,1,"
36","
+6"
JJ-雷迪克,G,34,5-13,3-7,6-7,0,3,"
3","
3",2,0,2,0,"
19","
-3"
肯里奇-威廉姆斯,F,31,3-6,2-4,0-0,4,6,"
10","
3",5,3,2,1,"
8","
+9"
伊托万-摩尔,F,30,5-14,3-6,2-4,1,2,"
3","
3",1,0,1,0,"
15","
+3"
德里克-费沃斯,C,35,9-13,1-1,1-3,9,11,"
20","
3",3,0,2,1,"
20","
+13"
弗兰克-杰克逊,G,23,9-14,4-7,1-2,0,5,"
5","
2",4,0,0,0,"
23","
-3"
尼基尔-亚历山大-沃克,G,21,0-6,0-2,2-2,0,2,"
2","
3",2,0,1,2,"
2","
+12"
尼科勒-梅利,F,17,0-2,0-1,0-0,0,2,"
2","
1",3,1,0,0,"
0","
-4"
贾克森-海斯,C,13,3-6,0-0,3-4,2,1,"
3","
1",4,1,0,0,"
9","
-8"
朗佐-鲍尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-哈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾利尔-奥卡福,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-英格拉姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
路易斯-威廉姆斯,G,37,11-20,1-2,8-10,1,1,"
2","
9",2,2,2,0,"
31","
-20
"
特伦斯-曼,G,25,2-6,1-3,0-0,0,2,"
2","
4",2,1,3,0,"
5","
-2
"
莫里斯-哈克利斯,F,31,4-6,0-2,1-2,2,1,"
3","
1",3,1,1,1,"
9","
+4
"
保罗-乔治,F,24,10-17,3-5,10-10,0,9,"
9","
4",5,0,5,0,"
33","
+7
"
蒙特雷兹-哈勒尔,C,36,8-12,0-0,2-3,0,7,"
7","
6",3,2,2,2,"
18","
-5
"
罗德尼-麦格鲁德,G-F,36,6-10,5-7,3-6,0,3,"
3","
2",1,0,0,0,"
20","
-2"
杰迈克尔-格林,F,18,1-4,0-2,0-0,1,5,"
6","
0",3,0,2,0,"
2","
-10"
杰罗姆-罗宾逊,G,17,0-2,0-1,0-0,0,0,"
0","
1",2,0,1,2,"
0","
+7"
伊维察-祖巴茨,C,12,3-4,0-0,0-0,2,3,"
5","
1",1,0,0,1,"
6","
0"
帕特里克-帕特森,F,3,1-3,1-2,0-0,0,0,"
0","
0",0,0,0,0,"
3","
-4"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-贝弗利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
兰德里-沙梅特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
