勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
格伦-罗宾逊三世,G,32,3-11,1-2,2-2,1,3,"
4","
1",1,1,0,0,"
9","
-3"
丹吉洛-拉塞尔,G,25,5-10,1-6,1-2,0,2,"
2","
7",3,1,9,1,"
12","
+3"
德雷蒙德-格林,F,34,3-6,1-4,4-5,1,10,"
11","
4",3,2,2,1,"
11","
+4"
埃里克-帕斯卡尔,F,33,6-14,1-4,3-5,0,8,"
8","
1",3,0,2,0,"
16","
-19"
威利-考利-斯坦,C,25,5-6,0-0,0-0,1,7,"
8","
2",0,1,1,1,"
10","
+6"
亚历克-伯克斯,G,30,4-11,1-3,11-12,0,3,"
3","
1",3,1,0,0,"
20","
+3"
乔丹-普尔,G,22,1-8,0-5,2-2,0,6,"
6","
1",4,1,1,0,"
4","
-4"
凯-鲍曼,G,14,3-8,0-2,0-0,2,1,"
3","
0",2,1,1,0,"
6","
-2"
马基斯-克里斯,F,13,2-3,0-1,0-0,0,2,"
2","
0",0,0,1,0,"
4","
-12"
奥马里-斯佩尔曼,F,12,2-5,0-1,4-6,7,1,"
8","
0",0,0,2,1,"
8","
-1"
阿伦-斯马伊拉吉奇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达米恩-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,35,5-12,5-9,0-0,2,1,"
3","
4",2,2,2,1,"
15","
+11
"
肯巴-沃克,G,35,6-19,3-12,5-5,0,5,"
5","
5",2,1,1,1,"
20","
+2
"
杰森-塔特姆,F,38,8-23,2-7,6-7,3,5,"
8","
1",3,3,2,0,"
24","
+6
"
杰伦-布朗,F,35,9-17,3-3,1-2,1,7,"
8","
3",4,3,2,0,"
22","
-4
"
丹尼尔-泰斯,C,22,3-7,0-1,1-3,2,5,"
7","
0",5,2,0,1,"
7","
-5
"
布拉德-沃纳梅克,G,18,2-4,0-0,5-6,0,1,"
1","
3",1,1,2,0,"
9","
+8"
格兰特-威廉姆斯,F,16,1-1,0-0,0-0,0,3,"
3","
1",2,1,3,0,"
2","
0"
埃内斯-坎特,C,15,2-3,0-0,0-0,1,4,"
5","
1",3,0,2,2,"
4","
+10"
卡森-爱德华兹,G,13,0-4,0-1,0-0,0,2,"
2","
2",1,0,0,0,"
0","
+4"
罗伯特-威廉姆斯,C-F,10,0-0,0-0,0-0,2,3,"
5","
3",0,0,0,0,"
0","
0"
谢米-奥杰莱,F,4,1-1,0-0,0-0,0,0,"
0","
1",1,0,0,0,"
2","
-7"
罗密欧-兰福德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈登-海沃德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
