步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾斯廷-霍勒迪,G,34,4-9,1-4,0-0,2,2,"
4","
2",2,1,0,0,"
9","
-22"
阿龙-霍勒迪,G,34,5-18,1-4,0-0,1,3,"
4","
5",1,3,2,0,"
11","
-19"
TJ-沃伦,F,35,6-21,2-6,1-1,1,4,"
5","
0",1,1,2,2,"
15","
-6"
多曼塔斯-萨博尼斯,F,30,3-13,2-3,3-4,6,8,"
14","
2",2,1,3,0,"
11","
-17"
迈尔斯-特纳,C,33,6-14,3-7,1-1,2,9,"
11","
2",0,1,2,4,"
16","
-5"
道格-麦克德莫特,F,20,1-6,1-2,0-0,0,2,"
2","
1",2,0,1,1,"
3","
-20"
纳兹-米特鲁-朗,G,14,1-5,0-4,0-0,0,3,"
3","
3",0,0,1,0,"
2","
0"
戈加-比塔泽,C-F,12,3-5,1-2,0-0,0,1,"
1","
0",0,0,1,0,"
7","
-3"
TJ-利夫,F,10,2-5,1-2,0-0,1,4,"
5","
1",0,1,0,0,"
5","
-4"
亚卡尔-桑普森,F,8,0-1,0-0,0-0,0,1,"
1","
2",1,0,1,0,"
0","
-4"
阿利兹-约翰逊 ,F,5,1-2,0-0,2-3,1,2,"
3","
1",1,0,0,0,"
4","
+1"
布赖恩-鲍恩二世,F,5,0-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+4"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-麦康奈尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-布罗格登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,26,5-14,0-2,0-0,0,3,"
3","
5",1,1,3,0,"
10","
+12
"
唐特-迪温琴佐,G,24,6-9,2-5,0-0,1,3,"
4","
1",1,2,1,0,"
14","
+16
"
扬尼斯-阿德托昆博,F,28,10-17,3-6,3-5,3,10,"
13","
6",1,1,5,1,"
26","
+19
"
韦斯利-马修斯,F,20,2-8,1-3,0-0,0,5,"
5","
1",2,0,1,0,"
5","
+8
"
布鲁克-洛佩斯,C,27,6-10,1-2,2-2,1,7,"
8","
0",1,1,0,5,"
15","
+8
"
斯特林-布朗,G,26,4-9,2-5,0-0,0,6,"
6","
4",2,0,0,0,"
10","
+14"
凯尔-科沃尔,G-F,19,1-6,0-5,0-0,0,2,"
2","
0",0,0,0,0,"
2","
+10"
乔治-希尔,G,19,0-5,0-4,0-0,1,4,"
5","
4",1,0,1,0,"
0","
+11"
罗宾-洛佩斯,C,17,3-8,1-3,0-0,1,4,"
5","
0",1,1,2,0,"
7","
+1"
艾森-伊利亚索瓦,F,13,3-4,0-1,0-0,0,1,"
1","
1",1,0,0,0,"
6","
+1"
帕特-康诺顿,G-F,12,0-1,0-1,0-0,1,2,"
3","
1",1,0,0,2,"
0","
+3"
DJ-威尔森,F,5,2-3,1-2,0-0,0,0,"
0","
0",1,0,1,0,"
5","
-4"
萨纳西斯-阿德托昆博,F,4,1-2,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-4"
克里斯-米德尔顿,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
