独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,35,14-27,5-13,9-13,2,9,"
11","
12",5,0,5,0,"
42","
+11"
塞思-库里,G,27,3-6,1-3,0-0,0,1,"
1","
4",0,0,0,0,"
7","
+15"
多里安-芬尼-史密斯,F,35,8-10,3-4,3-4,2,3,"
5","
3",2,1,1,1,"
22","
+4"
克里斯塔普斯-波尔津吉斯,F,32,6-14,4-9,2-4,2,8,"
10","
1",4,0,2,0,"
18","
+9"
德怀特-鲍威尔,C,25,1-2,0-0,0-0,0,4,"
4","
1",4,0,2,0,"
2","
+8"
马克西-克勒贝尔,F,28,3-4,2-3,0-0,2,2,"
4","
2",1,1,1,0,"
8","
+3"
德朗-赖特,G,25,1-4,0-1,2-2,1,4,"
5","
1",2,1,0,2,"
4","
-10"
小蒂姆-哈达威,F-G,15,0-5,0-3,0-0,0,0,"
0","
2",1,0,1,0,"
0","
+3"
杰伦-布伦森,G,13,5-9,1-3,0-0,0,1,"
1","
1",0,1,1,0,"
11","
-5"
贾斯廷-杰克逊,F,5,1-3,1-2,0-0,0,0,"
0","
1",0,0,0,0,"
3","
-3"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
何塞-巴里亚,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,31,4-9,3-5,2-2,0,2,"
2","
0",1,1,1,0,"
13","
-3
"
德章泰-默里,G,25,4-11,0-1,0-0,2,3,"
5","
3",2,0,0,0,"
8","
-11
"
拉马库斯-阿尔德里奇,F,35,7-14,0-1,2-2,6,3,"
9","
2",3,0,1,1,"
16","
-13
"
德马尔-德罗赞,F,34,14-20,0-0,8-8,1,7,"
8","
4",4,1,1,0,"
36","
-8
"
特雷-莱尔斯,C,11,0-2,0-2,0-0,0,1,"
1","
1",0,1,1,0,"
0","
-18
"
帕蒂-米尔斯,G,26,3-9,2-8,1-2,0,1,"
1","
0",3,0,2,0,"
9","
+5"
雅各布-珀尔特尔,C,20,4-10,0-0,1-2,7,3,"
10","
2",2,1,3,0,"
9","
+8"
马科-贝里内利,G-F,19,2-8,1-2,0-0,0,3,"
3","
3",1,0,0,0,"
5","
+9"
鲁迪-盖伊,F,18,4-10,1-3,0-0,0,5,"
5","
2",0,1,0,1,"
9","
-5"
德里克-怀特,G,13,1-1,0-0,0-0,0,1,"
1","
1",1,0,0,0,"
2","
-6"
德马雷-卡罗尔,F,8,1-2,1-2,0-0,1,2,"
3","
0",1,1,0,0,"
3","
+7"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朗尼-沃克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
