猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,31,3-12,2-6,3-4,1,3,"
4","
8",2,4,2,0,"
11","
+19"
诺曼-鲍威尔,G,25,7-15,2-8,1-2,1,1,"
2","
6",0,2,1,0,"
17","
+27"
帕斯卡尔-西亚卡姆,F,35,7-14,3-6,3-3,2,6,"
8","
5",1,1,0,1,"
20","
+36"
OG-阿奴诺比,F,27,10-13,4-7,0-0,0,5,"
5","
2",4,2,3,0,"
24","
+25"
马克-加索尔,C,29,2-4,1-3,0-0,1,7,"
8","
9",1,0,0,1,"
5","
+26"
特伦斯-戴维斯,G,21,5-7,4-5,2-2,0,1,"
1","
7",5,1,2,0,"
16","
+11"
朗戴-霍利斯-杰弗森,F,20,6-10,0-0,3-3,4,4,"
8","
2",4,0,0,0,"
15","
+11"
克里斯-布歇,F,18,5-11,1-2,0-1,7,4,"
11","
0",3,1,1,0,"
11","
+10"
马特-托马斯,G,16,2-5,2-4,0-0,0,1,"
1","
1",1,1,0,0,"
6","
+13"
德万-埃尔南德斯,F,6,1-2,0-1,0-0,0,4,"
4","
0",3,1,1,0,"
2","
+2"
马尔科姆-米勒,F,6,2-2,1-1,0-0,0,1,"
1","
0",1,0,0,0,"
5","
+2"
奥谢-布里塞特,F,5,0-2,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
斯坦利-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-洛瑞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,26,4-11,2-6,0-0,1,2,"
3","
3",2,0,2,0,"
10","
-24
"
德文特-格雷厄姆,G,26,4-9,3-7,0-0,1,1,"
2","
6",2,1,4,0,"
11","
-15
"
迈尔斯-布里奇斯,F,28,5-10,2-5,1-1,2,3,"
5","
2",0,1,1,1,"
13","
-29
"
PJ-华盛顿,F,17,2-5,1-3,0-0,0,0,"
0","
2",5,0,1,0,"
5","
-27
"
科迪-泽勒,C,16,3-6,2-3,0-0,2,3,"
5","
0",1,0,2,1,"
8","
-23
"
尼古拉斯-巴图姆,F-G,25,1-4,1-4,0-0,1,5,"
6","
4",2,0,2,1,"
3","
-7"
马文-威廉姆斯,F,23,4-5,3-4,3-3,0,4,"
4","
1",1,0,0,2,"
14","
-2"
马利克-蒙克,G,22,2-9,0-5,3-4,1,2,"
3","
3",1,0,4,0,"
7","
-15"
俾斯麦-比永博,C-F,20,5-7,0-0,3-8,0,2,"
2","
0",1,0,0,2,"
13","
+2"
吉列尔莫-埃尔南戈麦斯,C,10,1-2,0-1,3-6,1,2,"
3","
1",0,0,1,1,"
5","
-13"
科迪-马丁,G,10,0-3,0-3,0-0,0,2,"
2","
3",2,1,2,0,"
0","
-13"
德维恩-培根,G-F,8,2-4,1-2,0-0,0,0,"
0","
0",0,0,0,0,"
5","
-7"
迈克尔-基德-吉尔克里斯特,F,8,0-3,0-2,2-2,0,2,"
2","
1",2,0,0,0,"
2","
-7"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
