篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯潘塞-丁威迪,G,33,9-21,4-8,6-7,0,5,"
5","
8",2,1,3,1,"
28","
-12"
加莱特-坦普尔,G,32,4-10,2-6,0-1,0,6,"
6","
3",2,0,0,2,"
10","
-10"
乔-哈里斯,F,27,3-8,1-5,0-0,0,2,"
2","
0",2,0,1,1,"
7","
-11"
托里恩-普林斯,F,23,3-11,1-3,0-0,1,3,"
4","
1",2,0,2,1,"
7","
-16"
贾勒特-阿伦,C,24,4-7,0-0,2-4,2,10,"
12","
1",1,0,0,1,"
10","
-8"
伊曼-香珀特,G,19,1-5,1-5,0-2,0,1,"
1","
0",4,1,0,0,"
3","
-16"
德安德烈-乔丹,C,18,2-2,0-0,2-2,1,2,"
3","
2",2,0,1,0,"
6","
-15"
西奥-平森,G-F,16,3-11,2-4,0-0,0,2,"
2","
1",2,0,1,0,"
8","
-20"
扎南-穆萨,G-F,16,0-4,0-1,3-4,0,2,"
2","
1",1,0,1,0,"
3","
-7"
尼古拉斯-克拉克斯顿,F,15,0-1,0-0,1-2,0,1,"
1","
1",0,0,0,1,"
1","
-14"
大卫-努瓦巴,G,6,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-6"
罗季翁斯-库鲁茨,F,6,1-2,0-1,0-0,0,2,"
2","
0",1,0,0,0,"
2","
-6"
蒂莫泰-卢瓦乌-卡巴罗,G-F,5,0-2,0-1,1-2,0,0,"
0","
0",0,0,0,0,"
1","
-4"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔森-钱德勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亨利-埃伦森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里斯-勒韦尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾斯廷-霍勒迪,G,32,6-11,4-6,4-4,0,4,"
4","
2",5,2,1,0,"
20","
+14
"
阿龙-霍勒迪,G,31,10-19,4-7,0-0,2,4,"
6","
13",3,0,2,0,"
24","
+17
"
TJ-沃伦,F,37,6-17,1-2,6-7,2,4,"
6","
1",2,1,2,0,"
19","
+6
"
多曼塔斯-萨博尼斯,F,29,7-16,0-2,2-2,5,13,"
18","
3",4,0,2,2,"
16","
+16
"
迈尔斯-特纳,C,30,4-11,1-4,0-1,1,6,"
7","
1",2,0,1,3,"
9","
+4
"
道格-麦克德莫特,F,27,2-7,2-4,1-2,1,6,"
7","
1",2,0,0,0,"
7","
+35"
纳兹-米特鲁-朗,G,26,5-10,2-6,0-0,0,3,"
3","
3",1,1,1,0,"
12","
+21"
戈加-比塔泽,C-F,16,2-5,0-1,0-1,2,3,"
5","
2",3,1,0,2,"
4","
+22"
TJ-利夫,F,8,0-1,0-0,0-0,0,4,"
4","
0",0,0,0,0,"
0","
+3"
阿利兹-约翰逊 ,F,3,2-3,0-0,0-0,2,1,"
3","
0",0,0,1,0,"
4","
+5"
布赖恩-鲍恩二世,F,2,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,1,"
0","
+2"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-麦康奈尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-布罗格登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
