鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,35,10-18,1-4,1-1,2,3,"
5","
10",1,0,5,0,"
22","
+2"
JJ-雷迪克,G,32,6-12,4-9,2-2,0,5,"
5","
2",0,0,0,0,"
18","
+10"
布兰登-英格拉姆,F,35,8-20,1-5,4-4,0,7,"
7","
5",0,2,3,1,"
21","
+16"
肯里奇-威廉姆斯,F,34,2-3,2-2,2-4,3,10,"
13","
1",2,3,2,1,"
8","
+4"
贾克森-海斯,C,21,3-8,0-0,3-4,4,3,"
7","
0",2,2,0,3,"
9","
+10"
尼科勒-梅利,F,27,4-10,1-6,5-5,4,2,"
6","
4",3,3,0,0,"
14","
+1"
伊托万-摩尔,G,21,5-12,1-2,0-0,3,1,"
4","
1",2,0,0,0,"
11","
+6"
弗兰克-杰克逊,G,19,2-4,2-4,3-4,0,2,"
2","
0",3,0,1,0,"
9","
+1"
尼基尔-亚历山大-沃克,G,16,1-6,1-4,0-0,0,4,"
4","
1",2,0,2,0,"
3","
+5"
朗佐-鲍尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-哈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-费沃斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾利尔-奥卡福,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蔡恩-威廉森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安芬尼-西蒙斯,G,36,4-13,3-5,2-4,0,3,"
3","
4",2,0,0,0,"
13","
-8
"
CJ-麦科勒姆,G,35,9-22,4-10,0-1,2,2,"
4","
5",2,2,1,1,"
22","
-9
"
罗德尼-胡德,F,32,4-12,0-2,0-0,1,4,"
5","
4",2,1,1,0,"
8","
-8
"
卡梅罗-安东尼,F,24,4-14,2-3,0-0,0,4,"
4","
0",5,0,5,1,"
10","
-20
"
哈桑-怀特塞德,C,29,5-7,0-0,4-4,4,10,"
14","
0",3,0,4,1,"
14","
-3
"
肯特-贝兹莫尔,G-F,28,3-8,3-5,2-2,0,3,"
3","
4",2,0,3,0,"
11","
-10"
纳西尔-利特尔,F,23,5-6,2-2,0-2,4,7,"
11","
1",4,1,1,2,"
12","
+9"
斯卡尔-拉比西埃,F-C,19,2-4,0-0,0-0,0,2,"
2","
0",3,1,0,0,"
4","
-8"
马里奥-海佐尼亚,F-G,13,3-5,1-1,0-0,0,2,"
2","
2",0,0,1,0,"
7","
-2"
小加里-特伦特,G,2,1-1,1-1,0-0,0,0,"
0","
0",0,0,1,0,"
3","
+4"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达米安-利拉德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-加索尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-托利弗,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
