76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,42,7-9,1-1,3-4,1,6,"
7","
13",2,1,1,1,"
18","
+10"
富尔坎-科尔克马兹,G,16,1-5,0-4,0-0,0,0,"
0","
1",1,0,1,0,"
2","
-13"
托拜厄斯-哈里斯,F,32,5-13,2-5,2-4,0,4,"
4","
4",0,0,0,0,"
14","
+1"
艾尔-霍弗德,F,25,3-11,1-2,0-0,2,4,"
6","
2",0,2,1,1,"
7","
-15"
乔尔-恩比德,C,34,7-19,1-7,8-12,2,10,"
12","
5",3,0,3,2,"
23","
+10"
迈克-斯科特,F,23,4-8,4-6,0-0,1,3,"
4","
0",4,0,1,1,"
12","
+10"
詹姆斯-恩尼斯,F,22,4-7,2-3,1-2,2,2,"
4","
2",0,0,0,1,"
11","
+15"
谢克-米尔顿,G-F,17,3-6,0-2,0-0,1,3,"
4","
0",3,0,3,0,"
6","
0"
特雷-伯克,G,15,3-6,1-1,2-2,1,0,"
1","
2",1,0,0,0,"
9","
+4"
马蒂斯-赛布尔,F-G,14,2-5,1-1,2-2,0,2,"
2","
1",0,2,0,0,"
7","
+3"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳-博尔登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
劳尔-内托,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-理查德森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,36,4-12,0-1,0-0,2,5,"
7","
3",3,2,4,1,"
8","
-5
"
弗朗克-尼利基纳,G,33,6-8,2-4,3-4,0,1,"
1","
0",2,0,1,1,"
17","
+2
"
马库斯-莫里斯,F,40,8-21,4-7,2-2,3,10,"
13","
6",5,2,2,0,"
22","
+5
"
朱利叶斯-兰德尔,F,36,5-13,2-4,5-8,2,6,"
8","
2",4,3,2,0,"
17","
+2
"
泰-吉布森,C,14,5-6,1-1,0-0,0,4,"
4","
1",2,0,1,0,"
11","
+7
"
博比-波蒂斯,F,24,3-6,1-2,0-0,0,2,"
2","
0",2,1,1,0,"
7","
-14"
丹伊恩-多特森,G,20,1-6,0-2,0-0,0,3,"
3","
1",2,0,0,1,"
2","
-12"
丹尼斯-史密斯,G,15,5-9,2-3,1-1,0,0,"
0","
2",1,0,2,0,"
13","
-7"
米切尔-罗宾逊,C-F,13,2-2,0-0,0-0,0,2,"
2","
0",4,0,0,3,"
4","
-10"
凯文-诺克斯,F,10,1-1,1-1,0-0,0,2,"
2","
2",0,0,1,0,"
3","
+7"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃尔弗里德-佩顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
