快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特里克-贝弗利,G,41,5-11,4-7,0-0,4,12,"
16","
7",4,3,2,2,"
14","
+17"
保罗-乔治,G,37,8-18,4-11,5-6,0,5,"
5","
8",2,0,5,1,"
25","
+17"
科怀-伦纳德,F,38,7-20,3-10,0-0,0,6,"
6","
3",2,3,5,2,"
17","
-2"
莫里斯-哈克利斯,F,25,1-3,1-2,0-0,0,1,"
1","
1",1,2,1,0,"
3","
+5"
伊维察-祖巴茨,C,22,1-3,0-0,3-6,3,4,"
7","
1",1,0,1,2,"
5","
+8"
路易斯-威廉姆斯,G,37,10-21,3-9,4-4,1,1,"
2","
2",1,2,7,0,"
27","
0"
蒙特雷兹-哈勒尔,F-C,31,3-8,0-0,0-0,2,4,"
6","
3",2,2,2,2,"
6","
-5"
杰迈克尔-格林,F,18,4-5,2-2,0-0,3,5,"
8","
0",1,0,0,0,"
10","
-12"
罗德尼-麦格鲁德,G-F,15,0-4,0-4,0-0,1,1,"
2","
1",3,0,0,0,"
0","
-10"
杰罗姆-罗宾逊,G,1,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-1"
特伦斯-曼,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
兰德里-沙梅特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,40,7-20,1-11,0-0,2,1,"
3","
8",1,2,0,0,"
15","
-4
"
肯巴-沃克,G,39,4-17,3-9,2-3,3,6,"
9","
2",3,1,6,0,"
13","
-8
"
杰森-塔特姆,F,41,12-24,5-10,1-2,0,6,"
6","
3",4,2,3,2,"
30","
-6
"
杰伦-布朗,F,39,3-14,1-8,2-4,1,5,"
6","
1",5,1,3,0,"
9","
-4
"
丹尼尔-泰斯,C,31,4-8,0-1,0-0,7,7,"
14","
6",5,3,1,0,"
8","
-17
"
布拉德-沃纳梅克,G,27,4-8,2-4,4-4,1,2,"
3","
5",3,1,3,0,"
14","
+6"
格兰特-威廉姆斯,F,20,1-3,0-1,1-1,2,0,"
2","
0",0,0,0,0,"
3","
+7"
埃内斯-坎特,C,12,4-6,0-0,0-0,2,4,"
6","
0",0,1,1,0,"
8","
+9"
罗伯特-威廉姆斯,C-F,9,2-2,0-0,0-0,0,2,"
2","
1",0,0,0,0,"
4","
0"
谢米-奥杰莱,F,6,0-2,0-1,0-0,0,2,"
2","
0",1,0,0,0,"
0","
+2"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈登-海沃德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
