猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
诺曼-鲍威尔,G,38,7-11,1-4,0-0,0,1,"
1","
2",3,0,1,0,"
15","
+5"
弗雷德-范弗利特,G,35,10-19,1-5,3-4,0,1,"
1","
7",2,2,3,0,"
24","
+8"
帕斯卡尔-西亚卡姆,F,35,7-18,1-4,3-4,2,9,"
11","
4",2,1,3,1,"
18","
+6"
OG-阿奴诺比,F,23,3-6,1-3,2-2,0,4,"
4","
0",3,0,1,1,"
9","
+1"
马克-加索尔,C,29,2-4,1-2,0-0,0,6,"
6","
5",4,1,0,1,"
5","
-2"
特伦斯-戴维斯,G,27,7-10,3-5,2-2,1,7,"
8","
5",2,0,1,1,"
19","
+22"
朗戴-霍利斯-杰弗森,F,27,3-6,0-1,0-3,1,4,"
5","
2",2,1,2,0,"
6","
+21"
克里斯-布歇,F-C,20,5-10,0-2,4-4,6,5,"
11","
1",3,0,0,1,"
14","
+22"
马特-托马斯,G,2,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
马尔科姆-米勒,F-G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
奥谢-布里塞特,F-G,1,1-1,1-1,0-0,0,0,"
0","
0",0,0,0,0,"
3","
-1"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-洛瑞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,28,7-15,3-6,4-5,0,2,"
2","
3",2,3,3,0,"
21","
+3
"
马克尔-富尔茨,G,26,6-14,0-1,0-0,0,0,"
0","
4",2,2,0,0,"
12","
+11
"
乔纳森-艾萨克,F,34,6-15,0-4,4-6,7,6,"
13","
3",3,1,1,3,"
16","
-6
"
阿龙-戈登,F,12,1-3,0-1,0-0,0,2,"
2","
0",1,0,0,0,"
2","
-6
"
尼古拉-武切维奇,C,11,1-7,1-4,0-0,3,2,"
5","
5",0,0,0,1,"
3","
+1
"
特伦斯-罗斯,G-F,27,5-12,3-9,1-2,1,1,"
2","
0",0,1,1,1,"
14","
-29"
DJ-奥古斯丁,G,27,1-9,1-4,1-2,0,2,"
2","
5",2,1,1,0,"
4","
-27"
艾尔-法鲁克-阿米奴,F,23,1-3,1-1,0-2,3,2,"
5","
0",1,0,2,0,"
3","
-14"
肯-伯奇,C-F,21,5-7,0-0,2-3,0,4,"
4","
0",3,0,0,0,"
12","
-3"
穆罕默德-班巴,C,16,1-3,0-1,1-2,0,3,"
3","
2",2,0,2,2,"
3","
-12"
韦斯利-艾旺杜,F,12,1-2,0-1,5-6,2,2,"
4","
2",0,0,1,0,"
7","
-2"
梅尔文-弗雷泽,G,2,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
+2"
约什-马杰特,G,2,0-1,0-0,0-0,0,1,"
1","
1",0,1,0,0,"
0","
+2"
迈克尔-卡特-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
