雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,31,11-21,2-6,6-6,2,2,"
4","
6",2,1,2,0,"
30","
+4"
唐特-迪温琴佐,G,27,7-15,2-6,0-0,2,4,"
6","
1",2,1,0,0,"
16","
+5"
扬尼斯-阿德托昆博,F,36,9-27,1-7,5-10,4,15,"
19","
15",2,3,5,1,"
24","
+5"
韦斯利-马修斯,F,30,4-9,4-7,0-0,1,2,"
3","
1",3,0,0,0,"
12","
+2"
布鲁克-洛佩斯,C,30,4-7,2-5,0-0,0,0,"
0","
3",1,1,1,2,"
10","
+1"
帕特-康诺顿,G-F,22,7-10,2-3,2-2,1,3,"
4","
2",1,0,1,0,"
18","
+2"
斯特林-布朗,G-F,18,3-5,2-3,0-0,2,4,"
6","
1",2,0,2,0,"
8","
+4"
乔治-希尔,G,17,2-4,1-3,2-2,2,2,"
4","
3",4,1,0,0,"
7","
+4"
艾森-伊利亚索瓦,F,15,1-3,0-1,4-4,2,4,"
6","
0",1,0,0,0,"
6","
+11"
罗宾-洛佩斯,C,14,2-5,0-2,2-2,2,4,"
6","
0",2,0,1,0,"
6","
+2"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-米德尔顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-科沃尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,38,15-29,5-10,2-2,1,5,"
6","
10",3,0,3,3,"
37","
-8
"
小加里-特伦特,G,21,5-7,3-4,0-0,0,1,"
1","
2",2,1,0,2,"
13","
+3
"
罗德尼-胡德,F,30,5-5,1-1,0-0,0,3,"
3","
4",5,2,1,0,"
11","
-4
"
卡梅罗-安东尼,F,29,6-15,3-5,3-4,2,5,"
7","
4",2,0,3,0,"
18","
-1
"
安东尼-托利弗,C,31,3-9,2-6,0-0,1,2,"
3","
2",3,0,1,1,"
8","
-1
"
斯卡尔-拉比西埃,F-C,28,10-16,2-4,0-0,3,9,"
12","
3",3,1,0,5,"
22","
-11"
肯特-贝兹莫尔,G-F,18,1-8,0-3,0-0,0,5,"
5","
6",2,1,0,0,"
2","
-8"
安芬尼-西蒙斯,G,17,2-9,0-4,2-2,1,1,"
2","
1",2,1,0,0,"
6","
-3"
纳西尔-利特尔,F-G,17,3-5,1-2,5-6,1,0,"
1","
0",1,0,0,0,"
12","
-5"
马里奥-海佐尼亚,F-G,10,0-0,0-0,0-0,0,1,"
1","
0",4,0,0,0,"
0","
-2"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达米安-利拉德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈桑-怀特塞德,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
