快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,32,4-15,3-10,8-9,0,8,"
8","
7",3,2,3,0,"
19","
-3"
帕特里克-贝弗利,G,19,2-6,1-2,1-2,1,2,"
3","
0",6,1,1,0,"
6","
-17"
科怀-伦纳德,F,28,9-16,2-5,4-7,0,6,"
6","
3",5,3,2,0,"
24","
+11"
莫里斯-哈克利斯,F,23,3-4,1-1,0-0,1,3,"
4","
1",2,0,1,0,"
7","
-12"
伊维察-祖巴茨,C,13,4-4,0-0,0-0,2,3,"
5","
2",4,0,1,0,"
8","
+4"
蒙特雷兹-哈勒尔,F-C,35,8-13,0-0,2-2,3,4,"
7","
2",2,1,5,2,"
18","
-1"
路易斯-威廉姆斯,G,33,9-16,4-6,4-4,0,3,"
3","
8",3,0,4,0,"
26","
0"
杰迈克尔-格林,F-C,26,2-6,0-4,0-0,2,7,"
9","
1",3,1,2,1,"
4","
+17"
罗德尼-麦格鲁德,G,18,3-6,1-4,0-0,1,0,"
1","
0",2,0,0,0,"
7","
+11"
杰罗姆-罗宾逊,G,11,1-1,1-1,0-0,0,1,"
1","
3",2,1,0,1,"
3","
+5"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-曼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
兰德里-沙梅特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,42,9-16,5-11,14-18,0,8,"
8","
12",4,2,4,0,"
37","
+6
"
拉塞尔-威斯布鲁克,G,34,9-22,1-7,3-7,2,3,"
5","
6",6,2,6,0,"
22","
-6
"
PJ-塔克,F,37,3-7,1-4,1-2,1,3,"
4","
2",5,3,0,0,"
8","
+7
"
本-麦克勒摩,F,32,4-9,4-9,2-2,1,1,"
2","
1",1,2,0,0,"
14","
0
"
克林特-卡佩拉,C,41,7-12,0-0,3-5,5,14,"
19","
0",4,0,3,2,"
17","
-1
"
奥斯汀-里弗斯,G,31,3-9,2-7,2-2,0,1,"
1","
1",2,1,1,0,"
10","
-5"
萨博-塞福洛沙,F-G,11,3-6,2-4,0-0,0,1,"
1","
0",1,1,0,0,"
8","
-10"
泰森-钱德勒,C,7,0-0,0-0,1-2,2,1,"
3","
0",2,0,1,0,"
1","
-3"
克里斯-克莱蒙斯,G,5,1-3,0-1,0-0,0,0,"
0","
0",2,0,0,0,"
2","
-3"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-克拉克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹纽尔-豪斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
