老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,41,11-23,4-11,4-4,0,10,"
10","
10",1,1,3,0,"
30","
-4"
德安德烈-本布里,G,32,4-6,2-3,1-2,1,4,"
5","
4",5,2,2,1,"
11","
-18"
德安德烈-亨特,F,35,10-17,6-10,0-0,0,1,"
1","
4",3,0,4,0,"
26","
+4"
贾巴里-帕克,F,29,6-16,0-4,1-1,2,5,"
7","
5",5,3,1,0,"
13","
-1"
达米安-琼斯,C,23,3-4,0-0,0-0,1,0,"
1","
1",5,1,0,2,"
6","
0"
阿伦-克拉布,G-F,24,5-6,0-1,0-0,0,1,"
1","
1",1,1,2,0,"
10","
+4"
文斯-卡特,G-F,19,3-7,2-4,0-0,1,3,"
4","
1",3,0,0,2,"
8","
-2"
布鲁诺-费尔南多,F-C,16,1-2,0-0,2-4,2,2,"
4","
3",1,1,1,2,"
4","
+6"
埃文-特纳,G-F,12,2-6,0-1,0-0,0,3,"
3","
1",1,0,1,0,"
4","
+7"
亚历克斯-莱恩,C,8,2-3,0-0,0-0,1,1,"
2","
2",2,0,1,0,"
4","
-11"
蒂龙-华莱士,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-古德温,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷迪什,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫尔特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,43,7-21,2-9,9-9,1,2,"
3","
9",1,1,5,0,"
25","
+11
"
诺曼-鲍威尔,G,34,8-15,3-8,1-1,1,2,"
3","
1",1,0,3,0,"
20","
-11
"
帕斯卡尔-西亚卡姆,F,40,11-18,4-6,8-9,1,3,"
4","
3",3,1,2,2,"
34","
+6
"
OG-阿奴诺比,F,26,3-10,0-2,1-2,1,3,"
4","
1",0,0,0,0,"
7","
+2
"
马克-加索尔,C,31,1-5,1-3,0-0,0,7,"
7","
3",4,2,1,1,"
3","
+7
"
朗戴-霍利斯-杰弗森,F,24,2-3,0-1,3-4,4,5,"
9","
4",2,1,1,1,"
7","
-5"
特伦斯-戴维斯,G,17,2-6,1-3,1-1,0,3,"
3","
1",3,0,1,1,"
6","
+1"
克里斯-布歇,F-C,15,5-7,1-2,2-2,4,4,"
8","
0",2,0,2,0,"
13","
-5"
马特-托马斯,G,10,1-3,1-3,1-2,0,1,"
1","
0",0,0,0,0,"
4","
+9"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-洛瑞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
