奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,41,8-18,2-6,2-2,2,1,"
3","
8",3,0,2,0,"
20","
-4"
以赛亚-托马斯,G,29,6-11,4-7,1-1,0,2,"
2","
2",5,0,3,1,"
17","
-14"
八村垒,F,23,2-7,1-2,2-2,0,4,"
4","
1",0,1,1,0,"
7","
-8"
特洛伊-布朗,F,15,0-6,0-1,0-0,0,2,"
2","
3",2,1,0,0,"
0","
-2"
托马斯-布莱恩特,C,28,7-10,0-0,0-2,5,3,"
8","
2",3,0,3,0,"
14","
-1"
戴维斯-贝尔坦斯,F,29,4-10,4-9,0-0,1,5,"
6","
2",3,1,0,1,"
12","
+4"
伊斯梅尔-史密斯,G,24,3-9,1-4,0-0,0,5,"
5","
3",0,1,2,0,"
7","
+6"
乔丹-麦克雷,G,24,4-9,1-2,3-3,0,3,"
3","
4",4,1,2,0,"
12","
-8"
莫里茨-瓦格纳,F-C,19,6-9,0-2,0-0,3,8,"
11","
4",2,0,2,0,"
12","
-8"
CJ-迈尔斯,G,5,1-2,0-1,1-2,1,0,"
1","
0",1,0,1,0,"
3","
-6"
伊萨克-邦加,G,1,1-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
+2"
贾斯廷-罗宾逊,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
阿德米拉尔-斯科菲尔德,F-G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
巴迪-希尔德,G,36,4-14,3-7,7-7,1,1,"
2","
5",2,0,2,0,"
18","
+2
"
科里-约瑟夫,G,36,5-10,0-1,0-0,0,2,"
2","
5",3,2,0,0,"
10","
-1
"
哈里森-巴恩斯,F,35,7-8,3-3,9-11,0,4,"
4","
1",1,0,3,0,"
26","
+16
"
内马尼亚-别利察,F,29,3-11,0-4,0-0,4,8,"
12","
3",2,3,5,1,"
6","
-1
"
里乔恩-霍姆斯,C,36,7-9,0-0,2-2,1,9,"
10","
1",3,2,1,4,"
16","
+1
"
波格丹-波格丹诺维奇,G,28,7-16,3-9,4-6,0,4,"
4","
4",0,1,1,0,"
21","
+2"
贾斯廷-詹姆斯,G-F,16,2-3,1-2,0-0,0,1,"
1","
1",3,0,0,0,"
5","
+2"
约吉-费雷尔,G,12,2-4,0-1,0-0,0,4,"
4","
1",0,0,0,0,"
4","
+8"
德维恩-戴德蒙,C,12,2-6,1-4,2-2,0,0,"
0","
1",3,1,1,0,"
7","
+6"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达龙-福克斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷沃-阿里扎,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈里-贾尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
