尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗朗克-尼利基纳,G,32,3-11,1-5,1-1,0,3,"
3","
5",3,0,0,0,"
8","
+1"
凯文-诺克斯,G,18,1-4,1-3,2-2,0,3,"
3","
3",4,1,0,1,"
5","
-5"
马库斯-莫里斯,F,33,9-17,7-8,1-2,2,2,"
4","
0",2,1,3,0,"
26","
-2"
朱利叶斯-兰德尔,F,32,6-10,1-2,2-4,1,7,"
8","
4",2,0,2,0,"
15","
0"
泰-吉布森,C,20,4-5,0-0,0-1,4,4,"
8","
1",3,1,0,0,"
8","
+6"
韦恩-艾灵顿,G,28,4-8,4-7,0-0,0,3,"
3","
2",2,0,0,0,"
12","
+2"
丹伊恩-多特森,G,21,3-7,1-3,1-2,0,5,"
5","
1",1,1,3,0,"
8","
+1"
丹尼斯-史密斯,G,20,4-11,2-4,0-0,0,2,"
2","
5",2,1,1,0,"
10","
-2"
米切尔-罗宾逊,C-F,19,2-2,0-0,2-4,2,1,"
3","
0",6,0,3,3,"
6","
-1"
博比-波蒂斯,F,17,1-5,1-3,0-0,0,4,"
4","
1",4,1,4,0,"
3","
-10"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃尔弗里德-佩顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
RJ-巴雷特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加莱特-坦普尔,G,36,4-9,4-8,0-1,0,0,"
0","
0",2,2,0,0,"
12","
-3
"
斯潘塞-丁威迪,G,35,7-17,3-8,13-14,0,4,"
4","
4",2,0,0,0,"
30","
+8
"
托里恩-普林斯,F,34,6-14,2-7,0-0,1,10,"
11","
5",4,0,2,0,"
14","
+6
"
乔-哈里斯,F,29,4-13,3-8,2-2,0,1,"
1","
1",3,0,2,0,"
13","
+3
"
贾勒特-阿伦,C,32,5-9,0-0,8-11,4,6,"
10","
1",2,1,0,0,"
18","
+5
"
扎南-穆萨,G-F,21,2-6,1-3,0-2,0,3,"
3","
3",0,1,2,0,"
5","
+6"
伊曼-香珀特,G,19,1-2,1-2,2-2,0,0,"
0","
1",2,1,2,0,"
5","
-8"
西奥-平森,G-F,17,0-4,0-2,0-0,0,1,"
1","
2",0,1,2,0,"
0","
-6"
德安德烈-乔丹,C,16,2-3,0-0,2-2,2,3,"
5","
1",1,0,1,1,"
6","
-1"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗季翁斯-库鲁茨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒂莫泰-卢瓦乌-卡巴罗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里斯-勒韦尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔森-钱德勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亨利-埃伦森,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
大卫-努瓦巴,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
