掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-哈里斯,G,35,2-7,1-3,1-2,0,1,"
1","
3",2,0,1,0,"
6","
+17"
贾马尔-默里,G,34,9-21,4-11,0-0,1,6,"
7","
3",1,1,0,0,"
22","
+11"
威尔-巴顿,F,32,8-18,4-7,2-2,5,3,"
8","
4",2,1,1,0,"
22","
+13"
保罗-米尔萨普,F,27,6-12,2-5,9-9,3,2,"
5","
0",4,0,0,0,"
23","
+8"
尼古拉-约基奇,C,32,4-9,0-1,0-0,4,9,"
13","
5",2,2,1,0,"
8","
+8"
杰拉米-格兰特,F,21,1-3,0-0,1-3,1,4,"
5","
0",0,0,0,1,"
3","
+4"
梅森-普拉姆利,F-C,16,6-10,0-0,2-4,4,3,"
7","
2",1,0,2,1,"
14","
+4"
蒙特-莫里斯,G,14,4-5,1-1,1-3,0,3,"
3","
4",0,0,1,0,"
10","
+1"
马利克-比斯利,G,11,2-4,2-2,0-0,1,1,"
2","
2",2,0,2,0,"
6","
+6"
胡安-埃尔南戈麦斯,F,9,0-0,0-0,0-0,0,1,"
1","
0",1,0,2,0,"
0","
-2"
小迈克尔-波特,F,8,1-2,0-1,0-0,0,0,"
0","
1",1,0,0,0,"
2","
-7"
托里-克雷格,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,33,5-13,1-7,1-1,0,1,"
1","
5",1,0,5,0,"
12","
-18
"
泰勒-约翰逊,G,17,2-4,2-3,1-2,0,0,"
0","
3",1,0,2,0,"
7","
-8
"
达里奥-沙里奇,F,33,7-11,4-6,0-0,0,17,"
17","
2",4,0,0,1,"
18","
-10
"
凯利-乌布雷,F,29,4-12,0-4,2-2,1,2,"
3","
2",2,1,1,0,"
10","
-22
"
弗兰克-卡明斯基,C,19,3-7,0-3,1-1,1,3,"
4","
3",4,1,0,0,"
7","
-8
"
谢赫-迪亚洛,F-C,36,10-12,0-0,2-2,4,2,"
6","
1",3,0,2,1,"
22","
-8"
埃利-奥科博,G-F,28,6-11,3-4,1-2,0,2,"
2","
4",1,1,0,0,"
16","
-2"
卡梅伦-约翰逊,F,22,2-7,2-6,0-0,0,0,"
0","
1",1,0,1,0,"
6","
+8"
米卡尔-布里奇斯,F,16,1-3,0-2,2-2,0,1,"
1","
1",0,1,0,0,"
4","
+5"
杰文-卡特,G,7,1-2,0-0,0-0,1,1,"
2","
3",1,0,1,0,"
2","
+3"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿隆-贝恩斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里基-卢比奥,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
