公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,30,6-13,1-5,5-7,0,1,"
1","
5",4,2,6,1,"
18","
-18"
托马什-萨托兰斯基,G,27,5-12,1-5,0-0,0,5,"
5","
5",3,0,3,0,"
11","
-18"
劳里-马尔卡宁,F,27,3-7,2-5,2-2,0,1,"
1","
3",0,0,0,1,"
10","
-18"
沙奎尔-哈里森,F,23,1-5,1-2,0-2,2,2,"
4","
3",1,0,2,1,"
3","
-1"
温德尔-卡特,C,31,5-8,0-1,2-2,3,6,"
9","
1",2,1,2,1,"
12","
-16"
科比-怀特,G,28,3-13,1-8,1-2,0,3,"
3","
2",1,2,0,0,"
8","
-15"
登泽尔-瓦伦丁,G,16,5-10,1-5,0-0,1,3,"
4","
1",2,1,0,0,"
11","
+1"
丹尼尔-加福德,F-C,16,2-3,0-0,2-2,1,2,"
3","
0",2,0,0,0,"
6","
-4"
赛迪斯-杨,F,14,2-3,1-1,0-0,1,2,"
3","
2",2,0,2,0,"
5","
-9"
克里斯-邓恩,G,11,2-8,0-5,0-0,0,0,"
0","
1",2,1,0,0,"
4","
-10"
里安-阿尔奇迪亚科诺,G,9,0-2,0-1,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-10"
钱德勒-哈奇森,F-G,8,2-2,1-1,1-3,0,3,"
3","
0",0,1,2,0,"
6","
+3"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,32,8-16,2-7,3-3,0,3,"
3","
4",2,0,1,1,"
21","
+23
"
达米安-利拉德,G,27,4-10,1-4,4-4,0,2,"
2","
12",0,2,1,0,"
13","
+12
"
卡梅罗-安东尼,F,31,10-20,4-7,1-1,1,7,"
8","
2",3,1,2,0,"
25","
+19
"
罗德尼-胡德,F,30,6-11,1-5,3-4,1,5,"
6","
2",3,1,0,0,"
16","
+25
"
哈桑-怀特塞德,C,23,6-8,0-0,1-2,3,9,"
12","
1",3,1,2,2,"
13","
+15
"
肯特-贝兹莫尔,G-F,23,1-2,0-1,2-2,1,2,"
3","
0",1,0,1,0,"
4","
+8"
斯卡尔-拉比西埃,F-C,21,5-8,0-0,2-2,4,4,"
8","
0",5,0,2,2,"
12","
+5"
安芬尼-西蒙斯,G,21,1-5,0-2,0-0,0,2,"
2","
0",2,0,4,0,"
2","
+4"
纳西尔-利特尔,F-G,17,1-2,0-1,1-2,2,4,"
6","
1",0,0,1,0,"
3","
+4"
马里奥-海佐尼亚,F-G,7,1-2,0-0,0-0,0,2,"
2","
1",0,1,1,0,"
2","
-2"
杰伦-赫尔德,F,4,1-1,0-0,0-0,0,1,"
1","
0",0,1,0,0,"
2","
+1"
摩西-布朗,C,4,2-4,0-0,0-2,1,1,"
2","
0",1,1,0,0,"
4","
+1"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小加里-特伦特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-托利弗,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
