凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,37,7-12,1-4,2-2,1,2,"
3","
7",1,5,0,1,"
17","
+2"
杰伦-布朗,G,34,9-16,2-7,4-5,0,4,"
4","
0",0,1,0,0,"
24","
+1"
杰森-塔特姆,F,34,7-18,0-3,6-7,1,5,"
6","
3",4,0,3,0,"
20","
+4"
谢米-奥杰莱,F,27,3-6,1-4,0-0,0,2,"
2","
1",1,0,0,0,"
7","
+10"
埃内斯-坎特,C,25,5-6,0-0,3-3,3,6,"
9","
2",1,1,2,0,"
13","
+9"
罗伯特-威廉姆斯,C-F,23,3-5,0-0,0-0,3,3,"
6","
0",1,2,0,1,"
6","
-8"
布拉德-沃纳梅克,G,21,0-8,0-2,3-4,1,0,"
1","
4",4,0,2,0,"
3","
-22"
特里蒙特-沃特斯,G,20,2-7,1-5,2-2,0,2,"
2","
3",2,1,2,2,"
7","
+20"
卡森-爱德华兹,G,13,2-5,2-4,0-0,2,2,"
4","
0",2,0,2,0,"
6","
-7"
格兰特-威廉姆斯,F,5,0-2,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-4"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯巴-沃克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈登-海沃德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-泰斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
巴迪-希尔德,G,42,15-26,11-21,0-1,0,5,"
5","
2",0,0,4,1,"
41","
+2
"
科里-约瑟夫,G,35,2-4,1-2,0-0,1,4,"
5","
6",1,1,1,0,"
5","
-7
"
哈里森-巴恩斯,F,35,5-9,3-5,7-10,2,1,"
3","
1",2,0,1,1,"
20","
+3
"
内马尼亚-别利察,F,26,1-7,0-5,2-2,0,6,"
6","
5",2,0,2,1,"
4","
-3
"
里乔恩-霍姆斯,C,28,4-6,0-0,0-0,3,2,"
5","
2",5,1,0,2,"
8","
-8
"
波格丹-波格丹诺维奇,G,29,5-20,2-13,1-2,0,1,"
1","
8",1,0,2,1,"
13","
-1"
贾斯廷-詹姆斯,G-F,14,0-0,0-0,0-0,0,2,"
2","
0",2,0,0,1,"
0","
-3"
德维恩-戴德蒙,C,12,1-1,0-0,0-0,0,4,"
4","
1",2,0,1,0,"
2","
+12"
约吉-费雷尔,G,12,2-3,1-1,0-0,2,2,"
4","
3",0,0,2,0,"
5","
+5"
哈里-贾尔斯,F-C,9,2-3,0-0,0-0,0,1,"
1","
0",3,1,1,1,"
4","
-5"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达龙-福克斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷沃-阿里扎,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
