勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯-鲍曼,G,39,9-17,2-3,4-4,2,1,"
3","
5",3,3,1,1,"
24","
+6"
亚历克-伯克斯,G,33,3-17,1-4,0-0,0,4,"
4","
3",1,1,3,0,"
7","
-15"
格伦-罗宾逊三世,F,36,9-14,3-4,4-5,1,1,"
2","
5",1,2,1,1,"
25","
-13"
埃里克-帕斯卡尔,F,31,6-9,0-0,1-1,2,8,"
10","
1",5,0,5,1,"
13","
-4"
威利-考利-斯坦,C,29,2-7,0-0,0-0,2,4,"
6","
1",3,2,0,0,"
4","
-10"
乔丹-普尔,G,24,3-13,2-5,3-4,1,5,"
6","
4",1,1,1,0,"
11","
+3"
奥马里-斯佩尔曼,F,24,3-7,1-3,0-0,0,5,"
5","
1",1,0,1,2,"
7","
+12"
马基斯-克里斯,F,23,2-5,0-1,2-2,1,4,"
5","
7",2,1,0,2,"
6","
+6"
达米恩-李,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,35,7-15,4-8,2-2,1,6,"
7","
5",2,1,3,0,"
20","
-1
"
谢伊-吉尔杰斯-亚历山大,G,31,5-12,0-0,2-2,0,5,"
5","
3",3,2,3,1,"
12","
+13
"
达尼罗-加里纳利,F,34,5-12,3-8,2-2,0,7,"
7","
6",1,1,2,0,"
15","
+15
"
特伦斯-弗格森,F,27,3-7,0-3,0-0,0,0,"
0","
1",3,0,0,2,"
6","
+8
"
史蒂文-亚当斯,C,28,4-6,0-0,2-4,4,6,"
10","
5",1,0,2,3,"
10","
+10
"
丹尼斯-施罗德,G,34,9-17,4-8,0-0,0,1,"
1","
5",1,0,2,0,"
22","
+8"
纳伦斯-诺埃尔,C-F,20,4-6,0-0,1-1,1,4,"
5","
0",3,0,2,5,"
9","
-7"
达里厄斯-贝兹利,F-G,12,1-4,0-1,0-0,2,2,"
4","
0",0,0,0,2,"
2","
-13"
阿卜杜勒-纳迪尔,F,11,1-3,0-2,0-0,0,1,"
1","
1",1,1,1,0,"
2","
-11"
德翁特-伯顿,G-F,8,1-3,0-2,0-0,1,2,"
3","
0",1,0,0,0,"
2","
-7"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文-霍尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
